road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
Al Nadwah,"(24.8278719, 46.9278255)","(24.7727852, 46.8616075)",-0.3796296296296296,28.8085768999012,27.833333333333332,13.346666666666666,Blue
King Abdul Aziz Road,"(24.9996923, 46.7285093)","(24.6422095, 46.5499681)",1.774074074074074,60.83082942889647,57.20185185185184,57.52033333333333,Blue
King Salman Road,"(24.97692050000003, 46.7237318)","(24.79621499999998, 46.5574488)",0.95,68.24249550107663,37.166666666666664,42.181,Blue
أبي نصر الفارابي,"(24.6557667, 46.8913181)","(24.6429911, 46.8834379)",-2.2296296296296294,52.48402778960485,29.5037037037037,25.793444444444443,Blue
الأشقر,"(24.9081998, 46.9537969)","(24.8813536, 46.9283108)",0.0129629629629629,43.09997248898829,10.362962962962962,7.440999999999999,Blue
الأمير سعود بن عبدالله بن جلوي,"(24.8687954, 46.6632918)","(24.840795, 46.6053922)",-0.6907407407407408,56.98680981018708,15.207407407407407,14.437444444444443,Blue
العزايزه,"(24.6123559, 46.8088237)","(24.5613804, 46.7373393)",-0.124074074074074,43.23423962422049,26.93148148148148,19.191333333333333,Blue
العوفي,"(24.9387209, 46.941659)","(24.8809379, 46.8907119)",-0.4111111111111111,40.44161255136827,28.738888888888887,19.366,Blue
بنها,"(24.6111439, 46.8373937)","(24.5987364, 46.8204406)",-0.3648148148148148,48.01158926799221,14.50185185185185,11.674222222222223,Blue
تقي الدين التميمي,"(24.6637775, 46.52589)","(24.6309065, 46.4849839)",1.1240740740740742,38.93301805626681,13.925925925925926,9.010666666666664,Yellow
شارع الشيخ عبدالله بن جبرين,"(24.8353917, 46.6102146)","(24.8202052, 46.5812872)",-0.8814814814814815,52.4191128387255,12.70185185185185,11.092,Blue
شارع شبه الجزيرة,"(24.7095964, 46.91254010000001)","(24.60379, 46.815598)",-0.2037037037037035,54.62575465733929,35.34259259259259,31.964888888888886,Blue
شارع منصور الحازمي,"(24.8953296, 46.6391588)","(24.8890564, 46.6355399)",-0.6351851851851852,43.8432581426669,9.414814814814816,6.879,Blue
طريق خزام,"(25.0520962, 46.8071244)","(24.8801496, 46.6994378)",-1.1574074074074074,63.25161922886246,40.459259259259255,42.592,Blue
Northern Ring Road,"(24.9560346, 47.01452949999999)","(24.7258755, 46.5830947)",2.8018518518518523,77.95462754414821,43.08518518518518,55.002,Blue
Jeddah Road,"(24.6942703, 46.64157160000001)","(24.5263166, 46.4387046)",2.344444444444445,75.9205436919463,42.62777777777777,52.827,Blue
طريق أبي بكر الصديق,"(24.9673426, 46.7285093)","(24.6981028, 46.58851749999999)",1.0166666666666666,63.45580741359598,48.105555555555554,50.705,Blue
Dammam Road,"(24.9568714, 47.0291162)","(24.7886798, 46.7188421)",0.6666666666666667,71.8546508375311,39.599999999999994,47.042,Blue
Khurais Road,"(24.946473, 46.9999471)","(24.7106093, 46.7623591)",3.5037037037037035,70.07045900293325,35.63703703703704,41.159,Blue
طريق الأمير فيصل بن بندر بن عبدالعزيز,"(25.0006575, 46.70917670000001)","(24.8068767, 46.5833959)",-0.9425925925925924,63.61364585840669,38.837037037037035,41.101,Blue
