road_name,start_point,end_point,distance_km
Al Nadwah,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)",10.419447198349735
Al Nadwah,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)",2.235470155964256
King Abdul Aziz Road,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)",12.052105791331062
King Abdul Aziz Road,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)",22.10431344207196
King Abdul Aziz Road,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)",16.22238146233005
King Abdul Aziz Road,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)",2.5193001501565546
King Salman Road,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)",12.8055555675644
King Salman Road,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)",21.273647302534197
King Salman Road,"(24.796827, 46.5643251)","(24.796728, 46.5538512)",5.2704291233808895
أبي نصر الفارابي,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)",6.545559487776339
الأشقر,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)",7.320033394194974
الأمير سعود بن عبدالله بن جلوي,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)",10.468138970573298
الأمير سعود بن عبدالله بن جلوي,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)",2.2009857082569386
العزايزه,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)",11.212793019757548
العزايزه,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)",6.164217138151935
العوفي,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)",10.02696885060474
العوفي,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)",8.655479428792793
بنها,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)",9.617645793773251
تقي الدين التميمي,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)",8.827965333282899
شارع الشيخ عبدالله بن جبرين,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)",10.364020955217773
شارع شبه الجزيرة,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)",10.892549686893899
شارع شبه الجزيرة,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)",14.955959516208804
شارع شبه الجزيرة,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)",3.8295449352820974
شارع منصور الحازمي,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)",6.832189347106195
طريق خزام,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)",10.560242968151936
طريق خزام,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)",10.075629636661963
طريق خزام,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)",12.42585258695062
طريق خزام,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)",6.900404487766403
Northern Ring Road,"(24.954535, 47.0142416)","(24.7258606, 46.583506)",53.011559401112834
Jeddah Road,"(24.6942446, 46.641401)","(24.5267888, 46.438767)",29.730417589404773
Jeddah Road,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)",19.322278385782212
