road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.5,29.25209302325581,1.0333333333333334,Yellow,2024-09-22T20:00:30.204384,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-22T20:00:30.314064,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.6,37.45408163265305,-0.3,Blue,2024-09-22T20:00:30.491019,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,27.167,22.916666666666668,71.12814545454545,3.2,Yellow,2024-09-22T20:00:30.604397,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.383333333333333,78.41992528019927,1.1,Yellow,2024-09-22T20:00:30.690591,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9166666666666665,41.545531914893616,-0.18333333333333332,Blue,2024-09-22T20:00:30.789332,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-22T20:00:30.888905,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.883333333333333,70.33428331936295,4.7,Orange,2024-09-22T20:00:30.960832,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.633333333333334,50.36381909547738,0.26666666666666666,Blue,2024-09-22T20:00:31.053344,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.033333333333333,48.450622406639006,-1.1833333333333333,Blue,2024-09-22T20:00:31.191363,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.25,44.873513513513515,-0.35,Blue,2024-09-22T20:00:31.275797,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.683333333333334,61.872753209700434,-0.9666666666666667,Blue,2024-09-22T20:00:31.355947,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.05,39.89508196721312,0.0,Blue,2024-09-22T20:00:31.425336,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.466666666666665,35.08241042345277,3.1333333333333333,Yellow,2024-09-22T20:00:31.526365,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.833333333333334,44.01509433962264,-0.7666666666666667,Blue,2024-09-22T20:00:31.606259,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.55,43.84329896907216,-0.4,Blue,2024-09-22T20:00:31.687541,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.966666666666667,39.74344473007712,-0.13333333333333333,Blue,2024-09-22T20:00:31.766296,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.733333333333333,39.74253393665158,0.36666666666666664,Blue,2024-09-22T20:00:31.851974,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.3,40.92195121951219,1.0,Yellow,2024-09-22T20:00:31.928555,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.433333333333334,51.96836461126006,-1.2166666666666666,Blue,2024-09-22T20:00:32.008514,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-22T20:00:32.088393,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.633333333333333,72.88812664907651,-0.6833333333333333,Blue,2024-09-22T20:00:32.172385,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.733333333333333,47.05352112676057,-0.1,Blue,2024-09-22T20:00:32.262318,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-22T20:00:32.382148,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-22T20:00:32.466021,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.266666666666667,66.76834532374099,0.43333333333333335,Blue,2024-09-22T20:00:32.554812,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,16.356,14.666666666666666,66.9109090909091,-0.3333333333333333,Blue,2024-09-22T20:00:32.621473,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.3,66.84905660377359,0.05,Blue,2024-09-22T20:00:32.704536,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,60.533,63.46666666666667,57.22657563025211,9.333333333333334,Yellow,2024-09-22T20:00:32.974599,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.566666666666666,76.93839891451832,-1.1,Blue,2024-09-22T20:00:33.062496,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.85,92.3826714801444,-0.7333333333333333,Blue,2024-09-22T20:00:33.136464,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,34.437,31.133333333333333,66.36680942184154,2.1333333333333333,Yellow,2024-09-22T20:00:33.227270,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,9.416666666666666,76.37097345132744,0.9333333333333333,Yellow,2024-09-22T20:00:33.309562,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.633333333333333,41.17065637065638,-0.3,Blue,2024-09-22T20:00:33.431075,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
