road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.866666666666667,33.33498233215547,-1.6,Blue,2024-09-22T22:00:30.105344,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.733333333333333,25.08488372093023,-1.25,Blue,2024-09-22T22:00:30.197526,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.133333333333333,38.36759581881533,-0.7666666666666667,Blue,2024-09-22T22:00:30.297472,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,22.283333333333335,64.97771129394165,4.033333333333333,Orange,2024-09-22T22:00:30.399677,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.716666666666667,82.53106159895151,0.43333333333333335,Blue,2024-09-22T22:00:30.479571,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6166666666666667,44.99170506912443,-0.48333333333333334,Blue,2024-09-22T22:00:30.558262,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-22T22:00:30.637723,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.516666666666666,75.52547254725472,3.3333333333333335,Orange,2024-09-22T22:00:30.710588,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.916666666666667,48.30072289156626,0.55,Yellow,2024-09-22T22:00:30.795398,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-22T22:00:30.900059,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-22T22:00:30.971847,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.366666666666667,63.59648093841642,-1.2833333333333334,Blue,2024-09-22T22:00:31.043392,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-22T22:00:31.122720,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.066666666666666,44.69004149377594,-1.2666666666666666,Blue,2024-09-22T22:00:31.203059,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.6,45.2093023255814,-1.0,Blue,2024-09-22T22:00:31.286059,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.4,44.3,-0.55,Blue,2024-09-22T22:00:31.378970,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.15,39.1893536121673,0.05,Blue,2024-09-22T22:00:31.449046,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.3,47.604878048780485,-2.066666666666667,Blue,2024-09-22T22:00:31.519031,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
