road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.033333333333335,34.87541589648798,-2.433333333333333,Blue,2024-09-23T00:00:30.065701,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.75,25.012173913043476,-1.2333333333333334,Blue,2024-09-23T00:00:30.184029,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.4,37.84020618556701,-0.5,Blue,2024-09-23T00:00:30.279127,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.316666666666666,79.04931756141949,0.06666666666666667,Blue,2024-09-23T00:00:30.386675,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.866666666666667,88.44269662921349,-0.4166666666666667,Blue,2024-09-23T00:00:30.476025,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6333333333333333,44.785321100917436,-0.4666666666666667,Blue,2024-09-23T00:00:30.558613,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-23T00:00:30.644235,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.383333333333333,90.90877573131094,0.2,Blue,2024-09-23T00:00:30.702896,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.016666666666667,47.612351543942985,0.65,Yellow,2024-09-23T00:00:30.791353,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.866666666666666,49.4771186440678,-1.35,Blue,2024-09-23T00:00:30.888090,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.333333333333334,44.472857142857144,-0.26666666666666666,Blue,2024-09-23T00:00:30.964450,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.15,64.83228699551569,-1.5,Blue,2024-09-23T00:00:31.037539,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-23T00:00:31.108448,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.333333333333334,46.82739130434782,-2.0,Blue,2024-09-23T00:00:31.186851,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.433333333333334,46.10276679841897,-1.1666666666666667,Blue,2024-09-23T00:00:31.267558,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.85,42.95757575757575,-0.1,Blue,2024-09-23T00:00:31.350526,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.6,40.900000000000006,-0.5,Blue,2024-09-23T00:00:31.438972,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.9,45.390697674418604,-1.4666666666666666,Blue,2024-09-23T00:00:31.512698,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.05,45.55113122171945,-0.25,Blue,2024-09-23T00:00:31.587271,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.933333333333334,54.14581005586592,-1.7166666666666666,Blue,2024-09-23T00:00:31.664711,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.033333333333335,46.751351351351346,-0.85,Blue,2024-09-23T00:00:31.738948,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.883333333333333,66.32557022809124,0.5666666666666667,Blue,2024-09-23T00:00:31.813215,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.783333333333333,46.561672473867596,-0.05,Blue,2024-09-23T00:00:31.884336,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.8,45.68181818181818,-0.7666666666666667,Blue,2024-09-23T00:00:31.966777,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T00:00:32.052917,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.016666666666667,68.61959334565618,0.18333333333333332,Blue,2024-09-23T00:00:32.132192,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.716666666666667,61.147509113001206,0.06666666666666667,Blue,2024-09-23T00:00:32.193379,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.116666666666666,69.24429967426711,-0.13333333333333333,Blue,2024-09-23T00:00:32.267360,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,37.4,88.2385026737968,-2.8833333333333333,Blue,2024-09-23T00:00:32.353126,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.416666666666668,80.71686832740214,-2.25,Blue,2024-09-23T00:00:32.447733,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.95,91.72043010752688,-0.6333333333333333,Blue,2024-09-23T00:00:32.516359,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.233333333333334,69.1843329253366,-0.3,Blue,2024-09-23T00:00:32.590383,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.133333333333333,88.42131147540985,-0.35,Blue,2024-09-23T00:00:32.674098,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.6,41.330232558139535,-0.3333333333333333,Blue,2024-09-23T00:00:32.764918,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.933333333333333,43.85454545454546,-0.25,Blue,2024-09-23T00:00:32.847351,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.266666666666667,101.7852071005917,-0.5666666666666667,Blue,2024-09-23T00:00:32.915105,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.483333333333333,86.546847960445,-2.1333333333333333,Blue,2024-09-23T00:00:32.981235,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
