road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.283333333333335,34.39854147675478,-2.183333333333333,Blue,2024-09-23T01:00:30.271223,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.7,25.23157894736842,-1.2833333333333334,Blue,2024-09-23T01:00:30.415997,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-23T01:00:30.505699,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.183333333333334,84.26304558680891,-1.0666666666666667,Blue,2024-09-23T01:00:30.603014,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.466666666666667,91.52790697674419,-0.8166666666666667,Blue,2024-09-23T01:00:30.686494,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.3333333333333335,48.816,-0.7666666666666667,Blue,2024-09-23T01:00:30.792902,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.016666666666666,48.452029136316334,-0.45,Blue,2024-09-23T01:00:30.862923,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.4,97.11666666666666,-0.7833333333333333,Blue,2024-09-23T01:00:30.937650,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.45,51.795348837209296,0.08333333333333333,Blue,2024-09-23T01:00:31.037111,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.966666666666667,48.8560669456067,-1.25,Blue,2024-09-23T01:00:31.166332,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.166666666666666,45.28145454545455,-0.43333333333333335,Blue,2024-09-23T01:00:31.277117,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.033333333333333,65.5178247734139,-1.6166666666666667,Blue,2024-09-23T01:00:31.352700,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-23T01:00:31.435835,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.233333333333333,47.13479212253829,-2.1,Blue,2024-09-23T01:00:31.520812,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-09-23T01:00:31.605502,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
