road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.733333333333334,33.57224199288256,-1.7333333333333334,Blue,2024-09-23T07:00:29.862128,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.033333333333333,23.83756906077348,-0.95,Blue,2024-09-23T07:00:29.957674,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.166666666666668,38.30086956521738,-0.7333333333333333,Blue,2024-09-23T07:00:30.057078,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.683333333333334,86.78841158841159,-1.5666666666666667,Blue,2024-09-23T07:00:30.157533,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.65,98.54647887323944,-1.6333333333333333,Blue,2024-09-23T07:00:30.255015,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.4833333333333334,46.713875598086126,-0.6166666666666667,Blue,2024-09-23T07:00:30.378188,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-23T07:00:30.475589,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.466666666666667,96.66912442396314,-0.7166666666666667,Blue,2024-09-23T07:00:30.522026,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-23T07:00:30.601755,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-23T07:00:30.739085,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.633333333333333,43.08788927335641,0.03333333333333333,Blue,2024-09-23T07:00:30.816106,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.55,61.72890995260663,-0.9166666666666666,Blue,2024-09-23T07:00:30.891150,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-23T07:00:30.965703,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.216666666666665,44.27667009249744,-1.1166666666666667,Blue,2024-09-23T07:00:31.040110,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.033333333333333,43.04059040590406,-0.5666666666666667,Blue,2024-09-23T07:00:31.125396,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.85,42.95757575757575,-0.1,Blue,2024-09-23T07:00:31.225342,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.633333333333333,40.79208443271768,-0.4666666666666667,Blue,2024-09-23T07:00:31.310398,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.333333333333334,43.9155,-1.0333333333333334,Blue,2024-09-23T07:00:31.396905,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.166666666666666,45.075223880597015,-0.13333333333333333,Blue,2024-09-23T07:00:31.470579,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.066666666666666,53.5475138121547,-1.5833333333333333,Blue,2024-09-23T07:00:31.548804,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-23T07:00:31.635763,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.6,73.08095238095238,-0.7166666666666667,Blue,2024-09-23T07:00:31.724299,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-23T07:00:31.807378,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.666666666666666,46.38461538461539,-0.9,Blue,2024-09-23T07:00:31.882863,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T07:00:31.975914,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.466666666666667,73.0771653543307,-0.36666666666666664,Blue,2024-09-23T07:00:32.054513,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.75,65.7835294117647,-0.9,Blue,2024-09-23T07:00:32.147947,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.933333333333334,71.81756756756756,-0.31666666666666665,Blue,2024-09-23T07:00:32.231403,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.03333333333333,91.58519888991675,-4.25,Blue,2024-09-23T07:00:32.320959,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
