road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.333333333333332,34.30472727272728,-2.1333333333333333,Blue,2024-09-23T09:00:30.334771,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-23T09:00:30.436755,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-23T09:00:30.535762,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.133333333333333,84.50894941634242,-1.1166666666666667,Blue,2024-09-23T09:00:30.642221,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.766666666666667,97.47863777089783,-1.5166666666666666,Blue,2024-09-23T09:00:30.731755,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7,43.97837837837838,-0.4,Blue,2024-09-23T09:00:30.824540,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.016666666666666,48.452029136316334,-0.45,Blue,2024-09-23T09:00:30.918621,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.433333333333334,96.89237875288684,-0.75,Blue,2024-09-23T09:00:30.990937,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.233333333333333,53.59572192513369,-0.13333333333333333,Blue,2024-09-23T09:00:31.087843,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.866666666666666,49.4771186440678,-1.35,Blue,2024-09-23T09:00:31.260278,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.7,42.79175257731959,0.1,Blue,2024-09-23T09:00:31.375722,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.4,62.61923076923076,-1.0666666666666667,Blue,2024-09-23T09:00:31.469051,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-09-23T09:00:31.549859,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.133333333333333,44.50537190082645,-1.2,Blue,2024-09-23T09:00:31.652803,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.166666666666666,42.41454545454546,-0.43333333333333335,Blue,2024-09-23T09:00:31.739439,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.9,42.81342281879194,-0.05,Blue,2024-09-23T09:00:31.820738,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
