road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.533333333333335,33.93453237410071,-1.9333333333333333,Blue,2024-09-23T10:00:30.313413,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-23T10:00:30.409217,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.9,38.84126984126984,-1.0,Blue,2024-09-23T10:00:30.508974,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.883333333333333,85.760315893386,-1.3666666666666667,Blue,2024-09-23T10:00:30.630444,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.75,97.62976744186047,-1.5333333333333334,Blue,2024-09-23T10:00:30.719338,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6333333333333333,44.785321100917436,-0.4666666666666667,Blue,2024-09-23T10:00:30.808391,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-09-23T10:00:30.913680,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.4,97.11666666666666,-0.7833333333333333,Blue,2024-09-23T10:00:30.972460,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.066666666666666,55.068131868131864,-0.3,Blue,2024-09-23T10:00:31.069285,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.616666666666667,67.81796407185628,-3.816666666666667,Blue,2024-09-23T10:00:31.181798,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.3,44.63225806451613,-0.3,Blue,2024-09-23T10:00:31.292047,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.5,62.02285714285714,-0.9666666666666667,Blue,2024-09-23T10:00:31.375014,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-23T10:00:31.459441,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.666666666666666,45.83106382978723,-1.6666666666666667,Blue,2024-09-23T10:00:31.547908,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
