road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.433333333333334,34.11862567811934,-2.033333333333333,Blue,2024-09-23T11:00:30.064823,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-09-23T11:00:30.228370,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.0,38.636842105263156,-0.9,Blue,2024-09-23T11:00:30.363343,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.933333333333334,85.50708661417323,-1.3166666666666667,Blue,2024-09-23T11:00:30.521210,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.966666666666667,95.70091185410334,-1.3166666666666667,Blue,2024-09-23T11:00:30.609217,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.716666666666667,43.781165919282515,-0.38333333333333336,Blue,2024-09-23T11:00:30.703870,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.083333333333332,48.251191709844555,-0.38333333333333336,Blue,2024-09-23T11:00:30.823124,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.366666666666667,97.34199535962877,-0.8166666666666667,Blue,2024-09-23T11:00:30.909083,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.066666666666666,55.068131868131864,-0.3,Blue,2024-09-23T11:00:31.012082,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.8,67.41428571428573,-3.6333333333333333,Blue,2024-09-23T11:00:31.125190,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-23T11:00:31.238707,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.266666666666667,63.43246753246752,-1.2,Blue,2024-09-23T11:00:31.338789,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-23T11:00:31.425154,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.783333333333333,45.49229144667371,-1.55,Blue,2024-09-23T11:00:31.515298,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.516666666666667,45.65166340508806,-1.0833333333333333,Blue,2024-09-23T11:00:31.606990,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.533333333333333,43.893577981651376,-0.4166666666666667,Blue,2024-09-23T11:00:31.683992,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.516666666666667,41.17230359520639,-0.5833333333333334,Blue,2024-09-23T11:00:31.766437,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.233333333333333,44.24735516372797,-1.1333333333333333,Blue,2024-09-23T11:00:31.845707,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
