road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.633333333333333,33.75241502683363,-1.8333333333333333,Blue,2024-09-23T12:00:30.238357,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-23T12:00:30.381657,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-23T12:00:30.500547,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.083333333333332,84.75629268292684,-1.1666666666666667,Blue,2024-09-23T12:00:30.611213,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.05,94.979185520362,-1.2333333333333334,Blue,2024-09-23T12:00:30.707209,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.933333333333333,41.36949152542374,-0.16666666666666666,Blue,2024-09-23T12:00:30.816292,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-23T12:00:30.923330,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.55,96.11546391752576,-0.6333333333333333,Blue,2024-09-23T12:00:30.983849,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-23T12:00:31.085835,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.5,68.07737704918034,-3.933333333333333,Blue,2024-09-23T12:00:31.190443,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-23T12:00:31.298607,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.483333333333333,62.1214626391097,-0.9833333333333333,Blue,2024-09-23T12:00:31.407074,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-23T12:00:31.481722,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.0,44.876250000000006,-1.3333333333333333,Blue,2024-09-23T12:00:31.589918,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.066666666666666,42.88235294117647,-0.5333333333333333,Blue,2024-09-23T12:00:31.674027,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.083333333333334,45.296094674556215,-0.8666666666666667,Blue,2024-09-23T12:00:31.779433,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.883333333333333,40.00051746442433,-0.21666666666666667,Blue,2024-09-23T12:00:31.868518,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.666666666666666,42.84439024390244,-0.7,Blue,2024-09-23T12:00:31.946914,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.933333333333334,46.037195121951214,-0.36666666666666664,Blue,2024-09-23T12:00:32.043014,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.483333333333333,51.76021361815754,-1.1666666666666667,Blue,2024-09-23T12:00:32.131198,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-23T12:00:32.238343,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.65,79.04034334763948,-1.6666666666666667,Blue,2024-09-23T12:00:32.325031,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.766666666666667,46.72447552447553,-0.06666666666666667,Blue,2024-09-23T12:00:32.422081,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.583333333333334,46.83495145631068,-0.9833333333333333,Blue,2024-09-23T12:00:32.526507,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T12:00:32.626919,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
