road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.933333333333334,31.55117056856187,-0.5333333333333333,Blue,2024-09-23T13:00:30.436290,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.133333333333334,23.448913043478257,-0.85,Blue,2024-09-23T13:00:30.588132,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.066666666666666,38.50174825174825,-0.8333333333333334,Blue,2024-09-23T13:00:30.686277,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,29.283333333333335,49.445190665907795,11.033333333333333,Red,2024-09-23T13:00:30.799507,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.283333333333333,93.01506646971936,-1.0,Blue,2024-09-23T13:00:30.909382,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-23T13:00:31.008802,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.033333333333335,48.4016632016632,-0.43333333333333335,Blue,2024-09-23T13:00:31.099043,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,25.866666666666667,54.064948453608245,10.683333333333334,Red,2024-09-23T13:00:31.193462,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-23T13:00:31.328891,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.65,67.7442088091354,-3.783333333333333,Blue,2024-09-23T13:00:31.451694,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-23T13:00:31.544532,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,11.035,21.233333333333334,31.182103610675036,8.183333333333334,Red,2024-09-23T13:00:31.640858,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-23T13:00:31.719031,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.433333333333334,43.69290060851927,-0.9,Blue,2024-09-23T13:00:31.807306,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.3,41.80645161290323,-0.3,Blue,2024-09-23T13:00:31.902186,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.166666666666666,45.02964705882353,-0.7833333333333333,Blue,2024-09-23T13:00:31.988243,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-23T13:00:32.069386,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.033333333333333,44.92634271099744,-1.3333333333333333,Blue,2024-09-23T13:00:32.156823,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.883333333333333,46.248698315467074,-0.4166666666666667,Blue,2024-09-23T13:00:32.307332,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,16.316666666666666,39.6,2.6666666666666665,Yellow,2024-09-23T13:00:32.391383,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.2,46.27037037037038,-0.6833333333333333,Blue,2024-09-23T13:00:32.480238,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.95,77.0560669456067,-1.3666666666666667,Blue,2024-09-23T13:00:32.559209,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.733333333333333,47.05352112676057,-0.1,Blue,2024-09-23T13:00:32.644024,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.616666666666667,46.65377176015474,-0.95,Blue,2024-09-23T13:00:32.744990,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T13:00:32.954826,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.133333333333333,76.07213114754099,-0.7,Blue,2024-09-23T13:00:33.045753,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.433333333333334,62.437220843672456,-0.21666666666666667,Blue,2024-09-23T13:00:33.117187,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-23T13:00:33.239747,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.38333333333333,77.86362563900906,2.1,Yellow,2024-09-23T13:00:33.414028,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.066666666666666,81.94161849710983,-2.6,Blue,2024-09-23T13:00:33.517853,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.583333333333334,94.1963190184049,-1.0,Blue,2024-09-23T13:00:33.609095,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,36.733333333333334,51.291833030853,9.2,Orange,2024-09-23T13:00:33.689202,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.933333333333334,90.65042016806724,-0.55,Blue,2024-09-23T13:00:33.765537,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.566666666666666,41.49105058365759,-0.36666666666666664,Blue,2024-09-23T13:00:33.836628,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.4,37.83529411764707,0.21666666666666667,Yellow,2024-09-23T13:00:33.922234,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.583333333333334,108.3571653543307,-1.25,Blue,2024-09-23T13:00:34.017266,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.033333333333333,77.62350332594237,-0.5833333333333334,Blue,2024-09-23T13:00:34.105213,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.466666666666667,34.72388059701492,0.11666666666666667,Blue,2024-09-23T13:00:34.239142,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.25,68.40979591836735,-1.3166666666666667,Blue,2024-09-23T13:00:34.339124,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,22.416666666666668,48.17040892193308,8.45,Red,2024-09-23T13:00:34.417404,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,13.3,35.59398496240601,2.6333333333333333,Orange,2024-09-23T13:00:34.501775,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
