road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.75,33.5424,-1.7166666666666666,Blue,2024-09-23T23:00:30.267409,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-23T23:00:30.360886,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.55,37.549872122762146,-0.35,Blue,2024-09-23T23:00:30.464969,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,27.167,18.983333333333334,85.86584723441617,-0.7333333333333333,Blue,2024-09-23T23:00:30.564520,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.8,88.94237288135592,-0.48333333333333334,Blue,2024-09-23T23:00:30.645472,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5166666666666666,46.27109004739337,-0.5833333333333334,Blue,2024-09-23T23:00:30.735187,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-23T23:00:30.817802,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.983333333333333,93.33570634037821,-0.2,Blue,2024-09-23T23:00:30.888883,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.283333333333333,53.169230769230765,-0.08333333333333333,Blue,2024-09-23T23:00:30.966607,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.083333333333334,48.15092783505154,-1.1333333333333333,Blue,2024-09-23T23:00:31.077290,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.516666666666667,43.61611208406305,-0.08333333333333333,Blue,2024-09-23T23:00:31.163224,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.466666666666667,63.04186046511628,-1.1833333333333333,Blue,2024-09-23T23:00:31.235850,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-23T23:00:31.308985,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.483333333333333,46.37373519913886,-1.85,Blue,2024-09-23T23:00:31.403603,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.75,44.434285714285714,-0.85,Blue,2024-09-23T23:00:31.478456,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.783333333333333,43.15129650507328,-0.16666666666666666,Blue,2024-09-23T23:00:31.549831,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.666666666666666,37.70780487804878,0.5666666666666667,Blue,2024-09-23T23:00:31.621497,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.85,45.56731517509728,-1.5166666666666666,Blue,2024-09-23T23:00:31.696049,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.9,46.17798165137614,-0.4,Blue,2024-09-23T23:00:31.767940,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.233333333333333,52.817983651226164,-1.4166666666666667,Blue,2024-09-23T23:00:31.838853,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-23T23:00:31.909666,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.45,73.96144578313253,-0.8666666666666667,Blue,2024-09-23T23:00:32.007154,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.9,45.453061224489794,0.06666666666666667,Blue,2024-09-23T23:00:32.074993,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.166666666666666,43.85454545454546,-0.4,Blue,2024-09-23T23:00:32.145920,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-23T23:00:32.220855,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.066666666666666,68.24117647058823,0.23333333333333334,Blue,2024-09-23T23:00:32.298037,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.733333333333333,61.07330097087379,0.08333333333333333,Blue,2024-09-23T23:00:32.355972,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.333333333333333,66.43125,0.08333333333333333,Blue,2024-09-23T23:00:32.427297,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.516666666666666,90.37298037425833,-3.7666666666666666,Blue,2024-09-23T23:00:32.524686,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.883333333333333,79.13970690858339,-1.7833333333333334,Blue,2024-09-23T23:00:32.605145,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.016666666666667,91.28418549346016,-0.5666666666666667,Blue,2024-09-23T23:00:32.687792,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.25,69.14201834862385,-0.2833333333333333,Blue,2024-09-23T23:00:32.764971,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.266666666666667,86.99516129032257,-0.21666666666666667,Blue,2024-09-23T23:00:32.840217,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.6,41.330232558139535,-0.3333333333333333,Blue,2024-09-23T23:00:32.909806,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.9833333333333334,43.1195530726257,-0.2,Blue,2024-09-23T23:00:33.003110,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.866666666666667,105.53190184049079,-0.9666666666666667,Blue,2024-09-23T23:00:33.071147,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.783333333333333,84.66311970979444,-1.8333333333333333,Blue,2024-09-23T23:00:33.144063,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
