road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.833333333333332,33.39398230088496,-1.6333333333333333,Blue,2024-09-24T01:00:30.147353,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.666666666666667,25.379999999999995,-1.3166666666666667,Blue,2024-09-24T01:00:30.253270,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.683333333333334,37.29551227773074,-0.21666666666666667,Blue,2024-09-24T01:00:30.360622,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.3,83.69479768786128,-0.95,Blue,2024-09-24T01:00:30.459645,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.05,94.979185520362,-1.2333333333333334,Blue,2024-09-24T01:00:30.555387,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.283333333333333,49.55939086294417,-0.8166666666666667,Blue,2024-09-24T01:00:30.649130,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.4,47.31951219512195,-0.06666666666666667,Blue,2024-09-24T01:00:30.748676,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.55,96.11546391752576,-0.6333333333333333,Blue,2024-09-24T01:00:30.819875,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-24T01:00:30.918737,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.0,48.6525,-1.2166666666666666,Blue,2024-09-24T01:00:31.028531,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.583333333333334,43.31269565217391,-0.016666666666666666,Blue,2024-09-24T01:00:31.104517,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.35,63.6898678414097,-1.3,Blue,2024-09-24T01:00:31.180912,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-24T01:00:31.267713,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.583333333333334,46.07614973262032,-1.75,Blue,2024-09-24T01:00:31.351509,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-09-24T01:00:31.440470,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.2,41.968421052631584,0.25,Blue,2024-09-24T01:00:31.514287,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.833333333333334,37.253493975903616,0.7333333333333333,Yellow,2024-09-24T01:00:31.577536,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.016666666666667,44.983866837387964,-1.35,Blue,2024-09-24T01:00:31.673975,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.933333333333334,46.037195121951214,-0.36666666666666664,Blue,2024-09-24T01:00:31.749285,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.083333333333334,53.47365517241379,-1.5666666666666667,Blue,2024-09-24T01:00:31.854162,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.266666666666666,46.080737704918036,-0.6166666666666667,Blue,2024-09-24T01:00:31.922015,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.45,63.72456747404845,1.1333333333333333,Yellow,2024-09-24T01:00:31.995065,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.9,45.453061224489794,0.06666666666666667,Blue,2024-09-24T01:00:32.073082,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.716666666666667,41.37221269296741,0.15,Blue,2024-09-24T01:00:32.168492,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T01:00:32.246565,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.466666666666667,65.35774647887324,0.6333333333333333,Yellow,2024-09-24T01:00:32.327758,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.366666666666667,62.748628428927674,-0.2833333333333333,Blue,2024-09-24T01:00:32.394263,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.35,66.22429906542057,0.1,Blue,2024-09-24T01:00:32.473842,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.55,90.29056087551301,-3.7333333333333334,Blue,2024-09-24T01:00:32.554836,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.183333333333334,81.5292595255212,-2.4833333333333334,Blue,2024-09-24T01:00:32.640569,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.133333333333333,90.53066037735849,-0.45,Blue,2024-09-24T01:00:32.706622,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.333333333333332,71.54886075949368,-1.2,Blue,2024-09-24T01:00:32.782322,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.883333333333334,91.22536997885835,-0.6,Blue,2024-09-24T01:00:32.855385,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.65,41.09132947976879,-0.2833333333333333,Blue,2024-09-24T01:00:32.934726,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
