road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.233333333333334,31.083360790774293,-0.23333333333333334,Blue,2024-09-24T04:00:30.257413,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-24T04:00:30.353517,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.4,37.84020618556701,-0.5,Blue,2024-09-24T04:00:30.444163,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.966666666666665,85.33909626719058,-1.2833333333333334,Blue,2024-09-24T04:00:30.543235,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.866666666666667,96.58159509202454,-1.4166666666666667,Blue,2024-09-24T04:00:30.633214,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7,43.97837837837838,-0.4,Blue,2024-09-24T04:00:30.722887,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.016666666666666,48.452029136316334,-0.45,Blue,2024-09-24T04:00:30.826282,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.033333333333333,93.02527716186253,-0.15,Blue,2024-09-24T04:00:30.894564,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.0,55.67999999999999,-0.36666666666666664,Blue,2024-09-24T04:00:30.981168,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.566666666666666,67.9288985823337,-3.8666666666666667,Blue,2024-09-24T04:00:31.094539,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-24T04:00:31.165147,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.45,53.7457249070632,0.8,Yellow,2024-09-24T04:00:31.239093,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.2333333333333334,37.63298969072165,0.18333333333333332,Yellow,2024-09-24T04:00:31.318749,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.016666666666667,47.81487236403996,-2.316666666666667,Blue,2024-09-24T04:00:31.400414,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
