road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.166666666666668,32.81321739130434,-1.3,Blue,2024-09-24T05:00:30.095896,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.2,23.196774193548386,-0.7833333333333333,Blue,2024-09-24T05:00:30.195825,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-24T05:00:30.288900,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.416666666666668,88.19817258883248,-1.8333333333333333,Blue,2024-09-24T05:00:30.392021,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.033333333333333,95.12265861027191,-1.25,Blue,2024-09-24T05:00:30.474207,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.85,42.26493506493507,-0.25,Blue,2024-09-24T05:00:30.574751,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-09-24T05:00:30.660392,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-09-24T05:00:30.724831,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.933333333333334,56.30561797752809,-0.43333333333333335,Blue,2024-09-24T05:00:30.808529,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.283333333333333,46.98832997987928,-0.9333333333333333,Blue,2024-09-24T05:00:30.891917,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-24T05:00:30.965937,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.5,62.85913043478261,-1.15,Blue,2024-09-24T05:00:31.041510,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-24T05:00:31.113945,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.483333333333334,43.56036400404449,-0.85,Blue,2024-09-24T05:00:31.213735,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-24T05:00:31.297604,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.933333333333334,42.71785714285714,-0.016666666666666666,Blue,2024-09-24T05:00:31.373321,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-24T05:00:31.451661,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.883333333333333,42.17575030012005,-0.48333333333333334,Blue,2024-09-24T05:00:31.526005,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.15,49.59014778325123,-1.15,Blue,2024-09-24T05:00:31.602257,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
