road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.066666666666666,33.145804195804196,-1.5166666666666666,Blue,2024-09-24T09:00:30.151509,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-09-24T09:00:30.258772,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-24T09:00:30.359077,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.7,86.70179640718564,-1.55,Blue,2024-09-24T09:00:30.493549,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.233333333333333,93.42908011869437,-1.05,Blue,2024-09-24T09:00:30.596459,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8666666666666667,42.08275862068966,-0.23333333333333334,Blue,2024-09-24T09:00:30.700012,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-24T09:00:30.802780,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.533333333333333,96.2256880733945,-0.65,Blue,2024-09-24T09:00:30.892695,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-24T09:00:30.981135,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.916666666666667,49.164631578947365,-1.3,Blue,2024-09-24T09:00:31.093039,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.7,42.79175257731959,0.1,Blue,2024-09-24T09:00:31.182678,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.533333333333333,62.67745664739885,-1.1166666666666667,Blue,2024-09-24T09:00:31.271114,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-24T09:00:31.357541,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.516666666666666,33.37041053446941,4.183333333333334,Orange,2024-09-24T09:00:31.444886,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.9,39.27272727272727,0.3,Blue,2024-09-24T09:00:31.525579,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-24T09:00:31.607561,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.966666666666667,39.74344473007712,-0.13333333333333333,Blue,2024-09-24T09:00:31.699252,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.966666666666667,39.12293986636971,0.6,Blue,2024-09-24T09:00:31.800935,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.4,44.152631578947364,0.1,Blue,2024-09-24T09:00:31.893958,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.116666666666667,53.32654745529573,-1.5333333333333334,Blue,2024-09-24T09:00:31.977201,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.133333333333333,49.531718061674006,-1.75,Blue,2024-09-24T09:00:32.059404,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.733333333333333,72.31570680628273,-0.5833333333333334,Blue,2024-09-24T09:00:32.153992,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.716666666666667,47.21978798586572,-0.11666666666666667,Blue,2024-09-24T09:00:32.256054,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-09-24T09:00:32.370661,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T09:00:32.585151,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.583333333333334,72.08388349514561,-0.25,Blue,2024-09-24T09:00:32.708376,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.233333333333333,68.56185286103542,-1.4166666666666667,Blue,2024-09-24T09:00:32.774431,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.916666666666667,72.06101694915255,-0.3333333333333333,Blue,2024-09-24T09:00:32.856869,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.2,86.39057591623036,-2.0833333333333335,Blue,2024-09-24T09:00:32.943126,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.066666666666666,78.53684210526316,-1.6,Blue,2024-09-24T09:00:33.038009,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-24T09:00:33.115771,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.633333333333333,73.50273081924577,-1.9,Blue,2024-09-24T09:00:33.239997,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.983333333333333,90.08267223382046,-0.5,Blue,2024-09-24T09:00:33.346575,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.333333333333334,42.6528,-0.6,Blue,2024-09-24T09:00:33.425550,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.3833333333333333,38.02167487684729,0.2,Yellow,2024-09-24T09:00:33.519712,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
