road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.45,32.33521850899743,-1.0166666666666666,Blue,2024-09-24T10:00:30.085813,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-09-24T10:00:30.205533,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-24T10:00:30.318035,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.966666666666665,85.33909626719058,-1.2833333333333334,Blue,2024-09-24T10:00:30.433927,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.366666666666667,92.33313782991203,-0.9166666666666666,Blue,2024-09-24T10:00:30.530898,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.966666666666667,41.0218487394958,-0.13333333333333333,Blue,2024-09-24T10:00:30.619019,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-24T10:00:30.702838,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.75,94.81220338983051,-0.43333333333333335,Blue,2024-09-24T10:00:30.751790,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-24T10:00:30.859006,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.6,67.85490196078432,-3.8333333333333335,Blue,2024-09-24T10:00:30.976181,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-24T10:00:31.098750,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.733333333333333,56.77068062827226,0.08333333333333333,Blue,2024-09-24T10:00:31.188781,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.2333333333333334,37.63298969072165,0.18333333333333332,Yellow,2024-09-24T10:00:31.279263,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.966666666666665,42.31944990176818,-0.36666666666666664,Blue,2024-09-24T10:00:31.384937,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.466666666666667,41.07042253521127,-0.13333333333333333,Blue,2024-09-24T10:00:31.474928,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.016666666666667,45.51153388822829,-0.9333333333333333,Blue,2024-09-24T10:00:31.549416,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.7,40.57795275590552,-0.4,Blue,2024-09-24T10:00:31.636456,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.0,39.036,0.6333333333333333,Blue,2024-09-24T10:00:31.716851,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.433333333333334,40.37142857142857,-0.6333333333333333,Blue,2024-09-24T10:00:31.818019,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.033333333333333,53.69584487534627,-1.6166666666666667,Blue,2024-09-24T10:00:31.901937,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.333333333333334,48.88565217391304,-1.55,Blue,2024-09-24T10:00:31.989836,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.6,73.08095238095238,-0.7166666666666667,Blue,2024-09-24T10:00:32.071008,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.766666666666667,46.72447552447553,-0.06666666666666667,Blue,2024-09-24T10:00:32.164380,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.833333333333334,45.509433962264154,-0.7333333333333333,Blue,2024-09-24T10:00:32.271522,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T10:00:32.401275,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.116666666666667,76.22833675564681,-0.7166666666666667,Blue,2024-09-24T10:00:32.497634,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.416666666666666,67.54953020134228,-1.2333333333333334,Blue,2024-09-24T10:00:32.565859,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-24T10:00:32.643736,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.63333333333333,85.42157031924073,-1.65,Blue,2024-09-24T10:00:32.772088,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.683333333333334,79.80802251935256,-1.9833333333333334,Blue,2024-09-24T10:00:32.882555,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.466666666666667,88.4447004608295,-0.11666666666666667,Blue,2024-09-24T10:00:32.952977,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.0,72.46615384615384,-1.5333333333333334,Blue,2024-09-24T10:00:33.033601,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.016666666666667,89.7081081081081,-0.4666666666666667,Blue,2024-09-24T10:00:33.108194,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.383333333333333,42.39840954274354,-0.55,Blue,2024-09-24T10:00:33.224382,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.45,37.28695652173913,0.26666666666666666,Yellow,2024-09-24T10:00:33.320681,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.716666666666667,107.00902021772939,-1.1166666666666667,Blue,2024-09-24T10:00:33.409736,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.166666666666666,76.94109890109891,-0.45,Blue,2024-09-24T10:00:33.489770,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.283333333333333,36.21011673151751,-0.06666666666666667,Blue,2024-09-24T10:00:33.562850,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.85,65.21556420233463,-0.7166666666666667,Blue,2024-09-24T10:00:33.646445,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.916666666666666,83.5989677419355,-1.05,Blue,2024-09-24T10:00:33.729773,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.3,38.48780487804878,1.6333333333333333,Yellow,2024-09-24T10:00:33.801516,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.5,88.128,-0.65,Blue,2024-09-24T10:00:33.876219,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.05,106.289592760181,-1.1,Blue,2024-09-24T10:00:33.934563,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.033333333333333,64.99620853080569,-0.5,Blue,2024-09-24T10:00:34.022070,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.35,64.07536231884059,-0.25,Blue,2024-09-24T10:00:34.102169,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,11.75,74.10382978723405,0.6666666666666666,Yellow,2024-09-24T10:00:34.203803,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,10.35,67.75652173913045,0.38333333333333336,Blue,2024-09-24T10:00:34.298827,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.166666666666668,37.866055045871555,-0.5166666666666667,Blue,2024-09-24T10:00:34.391156,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.766666666666667,80.93242320819111,-0.9166666666666666,Blue,2024-09-24T10:00:34.469450,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,9.4,69.19787234042552,0.95,Yellow,2024-09-24T10:00:34.552491,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6666666666666665,39.25636363636364,-0.05,Blue,2024-09-24T10:00:34.628718,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,17.8,59.81460674157303,-0.6666666666666666,Blue,2024-09-24T10:00:34.711886,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.612,16.2,46.711111111111116,2.7,Orange,2024-09-24T10:00:34.823887,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.483333333333333,22.672340425531914,0.1,Blue,2024-09-24T10:00:34.922082,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,21.333333333333332,78.9525,-1.2166666666666666,Blue,2024-09-24T10:00:35.035729,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.8,41.73409090909091,-0.65,Blue,2024-09-24T10:00:35.134361,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,17.616666666666667,56.84730368968779,1.2666666666666666,Yellow,2024-09-24T10:00:35.241680,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.033333333333333,83.91586715867159,-0.5833333333333334,Blue,2024-09-24T10:00:35.317698,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
