road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.933333333333334,33.21760563380282,-1.5333333333333334,Blue,2024-09-24T11:00:30.281094,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-24T11:00:30.406416,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.133333333333333,38.36759581881533,-0.7666666666666667,Blue,2024-09-24T11:00:30.514057,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.933333333333334,85.50708661417323,-1.3166666666666667,Blue,2024-09-24T11:00:30.628858,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.716666666666667,89.57496443812234,-0.5666666666666667,Blue,2024-09-24T11:00:30.746999,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.116666666666666,39.52712550607288,0.016666666666666666,Blue,2024-09-24T11:00:30.857695,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-24T11:00:30.951511,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.716666666666667,95.02695356738391,-0.4666666666666667,Blue,2024-09-24T11:00:31.012037,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.033333333333333,55.37237569060773,-0.3333333333333333,Blue,2024-09-24T11:00:31.126494,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.166666666666666,47.6595918367347,-1.05,Blue,2024-09-24T11:00:31.258128,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.6,43.2375,0.0,Blue,2024-09-24T11:00:31.346418,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.483333333333333,62.95036284470247,-1.1666666666666667,Blue,2024-09-24T11:00:31.434492,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9,41.95862068965518,-0.15,Blue,2024-09-24T11:00:31.512164,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.166666666666668,44.41360824742267,-1.1666666666666667,Blue,2024-09-24T11:00:31.612534,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.066666666666666,42.88235294117647,-0.5333333333333333,Blue,2024-09-24T11:00:31.710265,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.266666666666667,44.714018691588784,-0.6833333333333333,Blue,2024-09-24T11:00:31.785040,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-24T11:00:31.867976,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.3,38.27058823529412,0.9333333333333333,Yellow,2024-09-24T11:00:31.986837,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.466666666666667,43.895930232558136,0.16666666666666666,Blue,2024-09-24T11:00:32.077119,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.983333333333333,53.91988873435327,-1.6666666666666667,Blue,2024-09-24T11:00:32.161555,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.25,49.15278688524591,-1.6333333333333333,Blue,2024-09-24T11:00:32.254046,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.55,73.37211155378486,-0.7666666666666667,Blue,2024-09-24T11:00:32.338194,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.783333333333333,46.561672473867596,-0.05,Blue,2024-09-24T11:00:32.418082,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.866666666666667,45.338345864661655,-0.7,Blue,2024-09-24T11:00:32.516200,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T11:00:32.728948,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.566666666666666,72.22412451361868,-0.26666666666666666,Blue,2024-09-24T11:00:32.818235,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.6,66.56666666666666,-1.05,Blue,2024-09-24T11:00:32.883227,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-24T11:00:32.969538,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.333333333333336,77.9555905511811,2.05,Yellow,2024-09-24T11:00:33.148022,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.116666666666667,78.37401520387007,-1.55,Blue,2024-09-24T11:00:33.275417,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.783333333333333,92.82950423216445,-0.8,Blue,2024-09-24T11:00:33.362046,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.0,72.46615384615384,-1.5333333333333334,Blue,2024-09-24T11:00:33.440922,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.066666666666666,89.15206611570248,-0.4166666666666667,Blue,2024-09-24T11:00:33.524251,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.383333333333333,42.39840954274354,-0.55,Blue,2024-09-24T11:00:33.602204,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,5.1,25.22352941176471,1.9166666666666667,Red,2024-09-24T11:00:33.683905,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.983333333333333,104.41092564491653,-0.85,Blue,2024-09-24T11:00:33.760921,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.783333333333333,78.93618940248028,-0.8333333333333334,Blue,2024-09-24T11:00:33.841693,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.516666666666667,34.33948339483395,0.16666666666666666,Blue,2024-09-24T11:00:33.920921,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.566666666666666,66.68594164456233,-1.0,Blue,2024-09-24T11:00:33.997166,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.866666666666667,83.92383419689118,-1.1,Blue,2024-09-24T11:00:34.079364,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,11.633333333333333,40.693409742120345,0.9666666666666667,Yellow,2024-09-24T11:00:34.164797,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.5,88.128,-0.65,Blue,2024-09-24T11:00:34.244492,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.3,103.93805309734512,-0.85,Blue,2024-09-24T11:00:34.303558,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.133333333333334,64.08504672897196,-0.4,Blue,2024-09-24T11:00:34.394106,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.633333333333333,62.36802507836991,0.03333333333333333,Blue,2024-09-24T11:00:34.480846,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,14.716666666666667,59.16557191392978,3.6333333333333333,Orange,2024-09-24T11:00:34.573875,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.683333333333334,72.42134251290878,-0.2833333333333333,Blue,2024-09-24T11:00:34.650866,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.066666666666666,38.07564575645756,-0.6166666666666667,Blue,2024-09-24T11:00:34.740351,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.95,79.44120603015075,-0.7333333333333333,Blue,2024-09-24T11:00:34.818692,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,12.0,54.20499999999999,3.55,Orange,2024-09-24T11:00:34.906437,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6,39.98333333333333,-0.11666666666666667,Blue,2024-09-24T11:00:34.991649,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,19.616666666666667,54.275276125743424,1.15,Yellow,2024-09-24T11:00:35.115030,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,21.95,34.44738041002278,8.833333333333334,Red,2024-09-24T11:00:35.227307,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.816666666666666,21.373065902578798,0.43333333333333335,Yellow,2024-09-24T11:00:35.349534,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,21.083333333333332,79.88869565217392,-1.4666666666666666,Blue,2024-09-24T11:00:35.490170,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.883333333333333,41.34258911819888,-0.5666666666666667,Blue,2024-09-24T11:00:35.585687,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,18.266666666666666,54.82445255474453,1.9166666666666667,Yellow,2024-09-24T11:00:35.681110,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.15,82.84590163934426,-0.4666666666666667,Blue,2024-09-24T11:00:35.770782,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,8.3,34.82168674698795,-1.5333333333333334,Blue,2024-09-24T11:00:35.852620,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.883333333333333,68.06942889137738,-0.7333333333333333,Blue,2024-09-24T11:00:35.957624,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,14.383333333333333,60.2739281575898,-0.06666666666666667,Blue,2024-09-24T11:00:36.037629,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.8666666666666667,36.713793103448275,-0.06666666666666667,Blue,2024-09-24T11:00:36.124951,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.35,89.14728682170542,-1.05,Blue,2024-09-24T11:00:36.233349,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.216666666666667,39.289456869009584,-0.2833333333333333,Blue,2024-09-24T11:00:36.348593,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.966666666666665,44.80964749536179,-0.2,Blue,2024-09-24T11:00:36.447335,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,11.533333333333333,59.32716763005781,-0.8666666666666667,Blue,2024-09-24T11:00:36.534817,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.233333333333333,64.04331210191083,-0.3333333333333333,Blue,2024-09-24T11:00:36.613342,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,14.216666666666667,54.687924970691675,-0.1,Blue,2024-09-24T11:00:36.697036,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.466666666666665,44.79530685920578,-2.9833333333333334,Blue,2024-09-24T11:00:36.839977,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,23.333333333333332,62.153999999999996,2.15,Yellow,2024-09-24T11:00:36.980347,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,17.433333333333334,77.32428298279157,-0.4,Blue,2024-09-24T11:00:37.071955,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.9833333333333334,40.84692737430168,-0.1,Blue,2024-09-24T11:00:37.174657,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,20.9,53.09282296650718,0.8833333333333333,Blue,2024-09-24T11:00:37.281864,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,7.816666666666666,46.54669509594883,0.5166666666666667,Yellow,2024-09-24T11:00:37.388356,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
