road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.016666666666666,33.072042068361085,-1.45,Blue,2024-09-24T12:00:30.332642,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-24T12:00:30.457061,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.4,37.84020618556701,-0.5,Blue,2024-09-24T12:00:30.578235,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.8,86.18571428571428,-1.45,Blue,2024-09-24T12:00:30.694972,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.383333333333333,84.75262449528938,0.1,Blue,2024-09-24T12:00:30.789270,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8333333333333335,42.44869565217391,-0.26666666666666666,Blue,2024-09-24T12:00:30.935595,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-24T12:00:31.030344,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-09-24T12:00:31.090117,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.133333333333334,54.4695652173913,-0.23333333333333334,Blue,2024-09-24T12:00:31.205605,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.883333333333334,49.37251585623679,-1.3333333333333333,Blue,2024-09-24T12:00:31.320838,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.6,43.2375,0.0,Blue,2024-09-24T12:00:31.408752,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.533333333333333,62.67745664739885,-1.1166666666666667,Blue,2024-09-24T12:00:31.484995,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-24T12:00:31.581846,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.85,34.437410071942445,3.5166666666666666,Orange,2024-09-24T12:00:31.683734,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.1,42.72527472527473,-0.5,Blue,2024-09-24T12:00:31.796759,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-24T12:00:31.883021,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.95,39.7945945945946,-0.15,Blue,2024-09-24T12:00:31.984869,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.666666666666666,63.302727272727275,-0.35,Blue,2024-09-24T12:00:32.088293,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.666666666666666,47.188125,-0.6333333333333333,Blue,2024-09-24T12:00:32.177814,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.883333333333333,54.37363253856943,-1.7666666666666666,Blue,2024-09-24T12:00:32.293439,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.35,48.832573289902285,-1.5333333333333334,Blue,2024-09-24T12:00:32.411041,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.833333333333334,66.56530120481928,0.5166666666666667,Blue,2024-09-24T12:00:32.485793,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.383333333333334,41.372136222910214,0.55,Yellow,2024-09-24T12:00:32.565865,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.766666666666667,45.855513307984786,-0.8,Blue,2024-09-24T12:00:32.656982,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T12:00:32.873681,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.266666666666667,74.84516129032257,-0.5666666666666667,Blue,2024-09-24T12:00:32.972465,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.416666666666666,67.54953020134228,-1.2333333333333334,Blue,2024-09-24T12:00:33.044178,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.0,70.86000000000001,-0.25,Blue,2024-09-24T12:00:33.128106,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,40.78333333333333,80.91834899877401,0.5,Blue,2024-09-24T12:00:33.256141,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,32.15,58.79066874027994,6.483333333333333,Orange,2024-09-24T12:00:33.366088,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.616666666666667,93.9657282741738,-0.9666666666666667,Blue,2024-09-24T12:00:33.447174,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.066666666666666,72.28081841432225,-1.4666666666666666,Blue,2024-09-24T12:00:33.549147,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.3,86.64578313253013,-0.18333333333333332,Blue,2024-09-24T12:00:33.645159,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.5,41.8164705882353,-0.43333333333333335,Blue,2024-09-24T12:00:33.745820,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.55,36.23661971830986,0.36666666666666664,Yellow,2024-09-24T12:00:33.834435,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.016666666666667,104.09500756429652,-0.8166666666666667,Blue,2024-09-24T12:00:33.929448,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.383333333333333,75.85742145178766,-0.23333333333333334,Blue,2024-09-24T12:00:34.029049,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,7.3,21.246575342465754,2.95,Red,2024-09-24T12:00:34.121342,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.733333333333333,65.81308900523561,-0.8333333333333334,Blue,2024-09-24T12:00:34.231966,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.8,84.36093749999999,-1.1666666666666667,Blue,2024-09-24T12:00:34.319546,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,11.8,40.1186440677966,1.1333333333333333,Yellow,2024-09-24T12:00:34.401464,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.766666666666667,85.10214592274679,-0.38333333333333336,Blue,2024-09-24T12:00:34.480792,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.333333333333334,103.63235294117645,-0.8166666666666667,Blue,2024-09-24T12:00:34.526663,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.35,62.19591836734694,-0.18333333333333332,Blue,2024-09-24T12:00:34.616997,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,14.25,46.538947368421056,3.65,Orange,2024-09-24T12:00:34.708986,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,18.683333333333334,46.604103479036574,7.6,Red,2024-09-24T12:00:34.808119,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,11.516666666666667,60.89261939218524,1.55,Yellow,2024-09-24T12:00:34.891641,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.366666666666667,37.45372050816697,-0.31666666666666665,Blue,2024-09-24T12:00:34.983848,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.983333333333333,79.17595993322205,-0.7,Blue,2024-09-24T12:00:35.061010,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,14.0,46.46142857142857,5.55,Red,2024-09-24T12:00:35.146064,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.683333333333333,39.07873303167421,-0.03333333333333333,Blue,2024-09-24T12:00:35.254063,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,22.633333333333333,47.04123711340206,4.166666666666667,Orange,2024-09-24T12:00:35.367624,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.614,27.066666666666666,27.962068965517243,10.35,Red,2024-09-24T12:00:35.486796,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.533333333333333,22.467469879518074,0.15,Blue,2024-09-24T12:00:35.589426,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.748,36.78333333333333,46.8929768917082,13.6,Red,2024-09-24T12:00:35.794057,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.65,42.4578034682081,-0.8,Blue,2024-09-24T12:00:35.881048,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,24.333333333333332,41.155890410958904,7.983333333333333,Orange,2024-09-24T12:00:36.030820,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,8.933333333333334,84.85522388059701,-0.6833333333333333,Blue,2024-09-24T12:00:36.127442,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,8.683333333333334,33.284452975047984,-1.15,Blue,2024-09-24T12:00:36.241097,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.483333333333333,69.9493670886076,-1.1333333333333333,Blue,2024-09-24T12:00:36.346106,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
