road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.616666666666667,32.06049277824979,-0.85,Blue,2024-09-24T14:00:30.375154,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.433333333333334,22.35544041450777,-0.55,Blue,2024-09-24T14:00:30.511343,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-09-24T14:00:30.628209,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.483333333333334,74.3158254918734,1.2333333333333334,Yellow,2024-09-24T14:00:30.744734,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,17.7,59.294915254237296,5.416666666666667,Orange,2024-09-24T14:00:30.846510,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.316666666666666,25.760422163588395,2.216666666666667,Red,2024-09-24T14:00:30.949344,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-24T14:00:31.061988,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.316666666666666,80.75919153031762,2.1333333333333333,Yellow,2024-09-24T14:00:31.128638,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.083333333333333,54.9172602739726,-0.2833333333333333,Blue,2024-09-24T14:00:31.273184,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,31.0,66.97935483870967,-3.433333333333333,Blue,2024-09-24T14:00:31.389345,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.666666666666666,42.93931034482759,0.06666666666666667,Blue,2024-09-24T14:00:31.475767,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,14.233333333333333,57.288056206088996,0.16666666666666666,Blue,2024-09-24T14:00:31.564592,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-24T14:00:31.666326,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,27.283333333333335,26.317165546731825,9.95,Red,2024-09-24T14:00:31.768314,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.25,37.93170731707317,0.65,Yellow,2024-09-24T14:00:31.850977,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.7,43.39591836734694,-0.25,Blue,2024-09-24T14:00:31.931533,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.583333333333334,40.954172185430465,-0.5166666666666667,Blue,2024-09-24T14:00:32.011631,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.433333333333334,60.158099352051835,0.4166666666666667,Blue,2024-09-24T14:00:32.112594,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,13.5,37.28444444444444,2.2,Yellow,2024-09-24T14:00:32.243405,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.466666666666667,47.98069306930693,-0.18333333333333332,Blue,2024-09-24T14:00:32.353171,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.2,46.27037037037038,-0.6833333333333333,Blue,2024-09-24T14:00:32.445392,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,16.483333333333334,55.86370070778563,3.1666666666666665,Orange,2024-09-24T14:00:32.519205,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.233333333333333,35.73048128342246,1.4,Orange,2024-09-24T14:00:32.626878,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.15,43.9344262295082,-0.4166666666666667,Blue,2024-09-24T14:00:32.715921,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-24T14:00:32.928157,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.183333333333334,75.60733197556007,-0.65,Blue,2024-09-24T14:00:33.044020,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.35,67.91417004048583,-1.3,Blue,2024-09-24T14:00:33.116850,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.316666666666666,66.63949843260188,0.06666666666666667,Blue,2024-09-24T14:00:33.241794,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,44.78333333333333,73.69080759211016,4.5,Yellow,2024-09-24T14:00:33.380375,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,44.916666666666664,42.08059369202226,19.25,Red,2024-09-24T14:00:33.543216,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.566666666666666,94.31203931203932,-1.0166666666666666,Blue,2024-09-24T14:00:33.651265,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,29.4,64.08571428571429,1.8666666666666667,Yellow,2024-09-24T14:00:33.741720,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,9.55,75.30471204188481,1.0666666666666667,Yellow,2024-09-24T14:00:33.817543,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.833333333333334,40.23849056603774,-0.1,Blue,2024-09-24T14:00:33.895096,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.25,39.581538461538464,0.06666666666666667,Blue,2024-09-24T14:00:34.006073,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.0,104.25272727272728,-0.8333333333333334,Blue,2024-09-24T14:00:34.097208,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,24.783333333333335,47.08567585743107,9.166666666666666,Red,2024-09-24T14:00:34.222663,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,6.5,23.861538461538462,2.15,Orange,2024-09-24T14:00:34.355793,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.3,68.13170731707316,-1.2666666666666666,Blue,2024-09-24T14:00:34.449959,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,14.35,75.24878048780488,0.38333333333333336,Blue,2024-09-24T14:00:34.524969,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,12.95,57.535135135135135,1.7,Yellow,2024-09-24T14:00:34.605469,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.933333333333334,83.31428571428572,-0.21666666666666667,Blue,2024-09-24T14:00:34.680450,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.316666666666666,103.78497790868924,-0.8333333333333334,Blue,2024-09-24T14:00:34.723346,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.816666666666666,58.482729211087424,0.2833333333333333,Blue,2024-09-24T14:00:34.823044,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,17.15,38.66938775510204,6.55,Red,2024-09-24T14:00:34.921747,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,19.0,45.82736842105263,7.916666666666667,Red,2024-09-24T14:00:35.006003,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,16.0,43.830000000000005,6.033333333333333,Red,2024-09-24T14:00:35.086766,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.083333333333332,38.04055299539171,-0.6,Blue,2024-09-24T14:00:35.225533,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.833333333333334,80.38372881355932,-0.85,Blue,2024-09-24T14:00:35.315630,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,12.983333333333333,50.099614890885746,4.533333333333333,Red,2024-09-24T14:00:35.403166,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
