road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.366666666666667,29.434633385335413,0.9,Blue,2024-09-24T15:00:30.400063,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.25,23.0112,-0.7333333333333333,Blue,2024-09-24T15:00:30.498644,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.483333333333334,37.678357570573134,-0.4166666666666667,Blue,2024-09-24T15:00:30.606330,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.2,75.41250000000001,0.95,Yellow,2024-09-24T15:00:30.712703,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,23.333333333333332,45.030857142857144,10.216666666666667,Red,2024-09-24T15:00:30.812882,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,7.183333333333334,22.652436194895593,3.0833333333333335,Red,2024-09-24T15:00:30.907077,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-24T15:00:30.993219,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.9,82.75029585798818,1.7166666666666666,Yellow,2024-09-24T15:00:31.071209,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.366666666666666,52.47329842931937,0.0,Blue,2024-09-24T15:00:31.202734,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.233333333333333,47.27368421052632,-0.9833333333333333,Blue,2024-09-24T15:00:31.329347,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.6,43.2375,0.0,Blue,2024-09-24T15:00:31.438059,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.95,60.492050209205026,-0.7,Blue,2024-09-24T15:00:31.525253,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-24T15:00:31.643167,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
