road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.483333333333334,34.026330027051394,-1.9833333333333334,Blue,2024-09-25T00:00:29.888834,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.916666666666667,24.30760563380281,-1.0666666666666667,Blue,2024-09-25T00:00:29.992862,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.65,37.3587786259542,-0.25,Blue,2024-09-25T00:00:30.103639,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.266666666666666,83.85637065637067,-0.9833333333333333,Blue,2024-09-25T00:00:30.249230,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.416666666666666,91.9287591240876,-0.8666666666666667,Blue,2024-09-25T00:00:30.343034,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.3833333333333333,48.09458128078818,-0.7166666666666667,Blue,2024-09-25T00:00:30.446637,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-25T00:00:30.536651,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.533333333333333,96.2256880733945,-0.65,Blue,2024-09-25T00:00:30.604257,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.45,51.795348837209296,0.08333333333333333,Blue,2024-09-25T00:00:30.717386,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.983333333333333,48.75407098121085,-1.2333333333333334,Blue,2024-09-25T00:00:30.817258,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-25T00:00:30.898196,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.383333333333333,62.71974317817014,-1.0833333333333333,Blue,2024-09-25T00:00:30.993781,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-09-25T00:00:31.069489,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.45,46.473786407766994,-1.8833333333333333,Blue,2024-09-25T00:00:31.152584,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.3,41.80645161290323,-0.3,Blue,2024-09-25T00:00:31.230235,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.75,40.50285714285714,0.8,Yellow,2024-09-25T00:00:31.305495,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.916666666666666,37.030419161676654,0.8166666666666667,Yellow,2024-09-25T00:00:31.373251,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.95,45.21544401544402,-1.4166666666666667,Blue,2024-09-25T00:00:31.452280,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.666666666666666,47.188125,-0.6333333333333333,Blue,2024-09-25T00:00:31.529170,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.266666666666667,52.67445652173913,-1.3833333333333333,Blue,2024-09-25T00:00:31.609661,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-25T00:00:31.697514,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.833333333333334,62.07775280898876,1.5166666666666666,Yellow,2024-09-25T00:00:31.774240,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-25T00:00:31.843395,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.133333333333333,44.01459854014599,-0.43333333333333335,Blue,2024-09-25T00:00:31.934436,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T00:00:32.107604,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.3,66.52903225806452,0.4666666666666667,Yellow,2024-09-25T00:00:32.189198,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.283333333333333,63.14228356336261,-0.36666666666666664,Blue,2024-09-25T00:00:32.260984,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.266666666666667,67.27215189873418,0.016666666666666666,Blue,2024-09-25T00:00:32.335519,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.93333333333333,82.640734557596,-0.35,Blue,2024-09-25T00:00:32.434039,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.133333333333333,78.31988950276244,-1.5333333333333334,Blue,2024-09-25T00:00:32.522682,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.9,85.8724832214765,0.31666666666666665,Blue,2024-09-25T00:00:32.604765,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.483333333333334,71.14361233480176,-1.05,Blue,2024-09-25T00:00:32.690977,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
