road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.05,31.367581047381545,-0.4166666666666667,Blue,2024-09-25T03:00:29.515096,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-25T03:00:29.628100,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.033333333333335,38.56917688266199,-0.8666666666666667,Blue,2024-09-25T03:00:29.753227,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.316666666666666,83.61424446583254,-0.9333333333333333,Blue,2024-09-25T03:00:29.856755,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.716666666666667,97.9334370139969,-1.5666666666666667,Blue,2024-09-25T03:00:29.953882,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.383333333333334,37.12243346007604,0.2833333333333333,Yellow,2024-09-25T03:00:30.046183,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-25T03:00:30.150760,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.383333333333333,97.22920046349942,-0.8,Blue,2024-09-25T03:00:30.223340,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.933333333333334,56.30561797752809,-0.43333333333333335,Blue,2024-09-25T03:00:30.336548,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.116666666666667,47.95318275154004,-1.1,Blue,2024-09-25T03:00:30.460429,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,10.65,38.97464788732394,1.05,Yellow,2024-09-25T03:00:30.555481,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.8,61.261016949152534,-0.85,Blue,2024-09-25T03:00:30.665866,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-25T03:00:30.738244,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.616666666666667,45.977801494130205,-1.7166666666666666,Blue,2024-09-25T03:00:30.816876,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.0,43.2,-0.6,Blue,2024-09-25T03:00:30.888958,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.016666666666667,42.48079911209767,0.06666666666666667,Blue,2024-09-25T03:00:30.967990,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.883333333333333,37.11932773109244,0.7833333333333333,Yellow,2024-09-25T03:00:31.056138,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.483333333333333,46.90574098798398,-1.8833333333333333,Blue,2024-09-25T03:00:31.128603,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.016666666666667,41.886823855755885,0.7166666666666667,Yellow,2024-09-25T03:00:31.199634,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.35,52.31902834008097,-1.3,Blue,2024-09-25T03:00:31.282585,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.316666666666666,45.93953013278856,-0.5666666666666667,Blue,2024-09-25T03:00:31.348600,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.066666666666666,76.31104972375691,-1.25,Blue,2024-09-25T03:00:31.426094,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-25T03:00:31.500799,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.266666666666667,43.38129496402877,-0.3,Blue,2024-09-25T03:00:31.578080,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
