road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.85,33.36445623342174,-1.6166666666666667,Blue,2024-09-25T05:00:30.304062,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-09-25T05:00:30.408520,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.333333333333332,37.970689655172414,-0.5666666666666667,Blue,2024-09-25T05:00:30.511125,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.766666666666666,86.35705765407555,-1.4833333333333334,Blue,2024-09-25T05:00:30.615501,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.083333333333334,94.69353383458646,-1.2,Blue,2024-09-25T05:00:30.702209,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7666666666666666,43.2,-0.3333333333333333,Blue,2024-09-25T05:00:30.797748,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.083333333333332,48.251191709844555,-0.38333333333333336,Blue,2024-09-25T05:00:30.884659,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.783333333333333,94.59842164599775,-0.4,Blue,2024-09-25T05:00:30.961132,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.083333333333333,54.9172602739726,-0.2833333333333333,Blue,2024-09-25T05:00:31.045254,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.833333333333332,67.34140540540541,-3.6,Blue,2024-09-25T05:00:31.140717,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-25T05:00:31.241599,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.466666666666667,63.04186046511628,-1.1833333333333333,Blue,2024-09-25T05:00:31.319549,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8666666666666667,42.44651162790697,-0.18333333333333332,Blue,2024-09-25T05:00:31.390599,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.316666666666666,46.878346028291624,-2.0166666666666666,Blue,2024-09-25T05:00:31.473243,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.8,44.18181818181819,-0.8,Blue,2024-09-25T05:00:31.547534,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
