road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.516666666666666,32.22476515798463,-0.95,Blue,2024-09-25T06:00:29.953601,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.85,24.584615384615386,-1.1333333333333333,Blue,2024-09-25T06:00:30.045470,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.183333333333334,38.26759339704604,-0.7166666666666667,Blue,2024-09-25T06:00:30.145655,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.266666666666666,79.26569343065695,0.016666666666666666,Blue,2024-09-25T06:00:30.254561,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.133333333333333,94.26826347305389,-1.15,Blue,2024-09-25T06:00:30.352604,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7666666666666666,43.2,-0.3333333333333333,Blue,2024-09-25T06:00:30.455749,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-25T06:00:30.555456,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.333333333333332,85.62122448979592,1.15,Yellow,2024-09-25T06:00:30.641991,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-09-25T06:00:30.722040,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.9,49.268354430379745,-1.3166666666666667,Blue,2024-09-25T06:00:30.815497,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-09-25T06:00:30.903844,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.866666666666667,60.916853932584274,-0.7833333333333333,Blue,2024-09-25T06:00:30.982008,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-25T06:00:31.060890,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.866666666666667,45.25336134453782,-1.4666666666666666,Blue,2024-09-25T06:00:31.144149,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-25T06:00:31.227629,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.683333333333334,43.44517593643587,-0.26666666666666666,Blue,2024-09-25T06:00:31.323340,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-25T06:00:31.399345,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.266666666666667,41.04252336448598,-0.1,Blue,2024-09-25T06:00:31.478153,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.233333333333333,49.18631921824104,-1.0666666666666667,Blue,2024-09-25T06:00:31.552484,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.95,54.07029288702929,-1.7,Blue,2024-09-25T06:00:31.629474,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.2,49.31447368421053,-1.6833333333333333,Blue,2024-09-25T06:00:31.698655,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.933333333333334,71.19742268041237,-0.38333333333333336,Blue,2024-09-25T06:00:31.772904,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.75,46.888421052631585,-0.08333333333333333,Blue,2024-09-25T06:00:31.849546,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
