road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.1,32.927748691099474,-1.3666666666666667,Blue,2024-09-25T07:00:30.151498,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.083333333333333,23.641643835616435,-0.9,Blue,2024-09-25T07:00:30.259606,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-25T07:00:30.362452,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.316666666666666,83.61424446583254,-0.9333333333333333,Blue,2024-09-25T07:00:30.470054,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.4,92.06315789473685,-0.8833333333333333,Blue,2024-09-25T07:00:30.587057,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.683333333333333,44.177375565610866,-0.4166666666666667,Blue,2024-09-25T07:00:30.682167,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-25T07:00:30.769750,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.583333333333334,89.74203208556149,0.4,Blue,2024-09-25T07:00:30.837838,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.183333333333334,54.02911051212938,-0.18333333333333332,Blue,2024-09-25T07:00:30.925072,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.116666666666667,47.95318275154004,-1.1,Blue,2024-09-25T07:00:31.045048,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-25T07:00:31.130431,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-09-25T07:00:31.224262,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-25T07:00:31.300998,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.95,40.001114206128136,0.6166666666666667,Blue,2024-09-25T07:00:31.397951,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.333333333333334,41.65714285714286,-0.26666666666666666,Blue,2024-09-25T07:00:31.474812,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.55,43.84329896907216,-0.4,Blue,2024-09-25T07:00:31.548671,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.783333333333333,40.313428943937424,-0.31666666666666665,Blue,2024-09-25T07:00:31.628960,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,13.74,16.333333333333332,50.47346938775511,2.033333333333333,Yellow,2024-09-25T07:00:31.710188,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.4,44.152631578947364,0.1,Blue,2024-09-25T07:00:31.789147,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.983333333333333,53.91988873435327,-1.6666666666666667,Blue,2024-09-25T07:00:31.907739,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.133333333333333,49.531718061674006,-1.75,Blue,2024-09-25T07:00:31.975301,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.15,65.0756183745583,0.8333333333333334,Yellow,2024-09-25T07:00:32.046137,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.133333333333334,43.38701298701299,0.3,Yellow,2024-09-25T07:00:32.118927,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.016666666666667,44.584103512014785,-0.55,Blue,2024-09-25T07:00:32.214712,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T07:00:32.377103,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.85,69.91186440677966,0.016666666666666666,Blue,2024-09-25T07:00:32.476842,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.2,68.74918032786886,-1.45,Blue,2024-09-25T07:00:32.581485,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.966666666666667,71.33557046979865,-0.2833333333333333,Blue,2024-09-25T07:00:32.663908,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,41.166666666666664,80.16485829959514,0.8833333333333333,Blue,2024-09-25T07:00:32.799756,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.783333333333335,79.47245970567624,-1.8833333333333333,Blue,2024-09-25T07:00:32.890267,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.2,90.1056338028169,-0.38333333333333336,Blue,2024-09-25T07:00:32.971456,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.0,72.46615384615384,-1.5333333333333334,Blue,2024-09-25T07:00:33.050308,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.166666666666666,88.06040816326532,-0.31666666666666665,Blue,2024-09-25T07:00:33.158419,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.35,42.56766467065869,-0.5833333333333334,Blue,2024-09-25T07:00:33.240675,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.183333333333333,40.41047120418849,0.0,Blue,2024-09-25T07:00:33.335109,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.05,103.78099547511312,-0.7833333333333333,Blue,2024-09-25T07:00:33.414591,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.783333333333333,78.93618940248028,-0.8333333333333334,Blue,2024-09-25T07:00:33.486179,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,5.883333333333334,26.362606232294617,1.5333333333333334,Orange,2024-09-25T07:00:33.554291,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.166666666666666,63.64708860759494,-0.4,Blue,2024-09-25T07:00:33.637497,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.583333333333334,85.81350993377484,-1.3833333333333333,Blue,2024-09-25T07:00:33.715205,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,11.633333333333333,40.693409742120345,0.9666666666666667,Yellow,2024-09-25T07:00:33.785150,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.95,83.13962264150943,-0.2,Blue,2024-09-25T07:00:33.864583,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.416666666666666,102.87591240875912,-0.7333333333333333,Blue,2024-09-25T07:00:33.912879,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.883333333333334,66.41259079903148,-0.65,Blue,2024-09-25T07:00:33.990823,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.166666666666666,65.23081967213116,-0.43333333333333335,Blue,2024-09-25T07:00:34.057790,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,15.95,54.59059561128527,4.866666666666666,Orange,2024-09-25T07:00:34.134129,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,12.4,56.55483870967742,2.433333333333333,Orange,2024-09-25T07:00:34.216591,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
