road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.883333333333333,33.30556045895851,-1.5833333333333333,Blue,2024-09-25T08:00:30.294127,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-25T08:00:30.411462,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-25T08:00:30.528002,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.116666666666667,84.59123661148978,-1.1333333333333333,Blue,2024-09-25T08:00:30.651220,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.233333333333333,93.42908011869437,-1.05,Blue,2024-09-25T08:00:30.765525,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.183333333333334,38.897211155378486,0.08333333333333333,Blue,2024-09-25T08:00:30.864154,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-09-25T08:00:30.975419,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.783333333333333,94.59842164599775,-0.4,Blue,2024-09-25T08:00:31.059700,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.3,53.028571428571425,-0.06666666666666667,Blue,2024-09-25T08:00:31.226604,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.933333333333334,49.06134453781513,-1.2833333333333334,Blue,2024-09-25T08:00:31.515627,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.683333333333334,42.86540447504303,0.08333333333333333,Blue,2024-09-25T08:00:31.611319,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.6,62.317241379310346,-1.05,Blue,2024-09-25T08:00:31.714424,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9833333333333334,40.78659217877095,-0.06666666666666667,Blue,2024-09-25T08:00:31.806976,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.116666666666667,39.63311867525299,0.7833333333333333,Blue,2024-09-25T08:00:31.915458,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.083333333333334,42.80366972477064,-0.5166666666666667,Blue,2024-09-25T08:00:32.013793,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.466666666666667,44.09585253456221,-0.48333333333333334,Blue,2024-09-25T08:00:32.115045,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.833333333333334,40.156363636363636,-0.26666666666666666,Blue,2024-09-25T08:00:32.231778,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,13.74,15.516666666666667,53.129967776584316,1.2166666666666666,Yellow,2024-09-25T08:00:32.342911,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.533333333333333,43.6421965317919,0.23333333333333334,Blue,2024-09-25T08:00:32.453014,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.3,52.53170731707317,-1.35,Blue,2024-09-25T08:00:32.535614,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.25,49.15278688524591,-1.6333333333333333,Blue,2024-09-25T08:00:32.620828,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.166666666666666,64.99905882352941,0.85,Yellow,2024-09-25T08:00:32.698349,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.133333333333334,43.38701298701299,0.3,Yellow,2024-09-25T08:00:32.785017,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.15,43.9344262295082,-0.4166666666666667,Blue,2024-09-25T08:00:32.870788,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T08:00:33.077726,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.7,71.11724137931034,-0.13333333333333333,Blue,2024-09-25T08:00:33.179284,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.533333333333333,66.92074468085106,-1.1166666666666667,Blue,2024-09-25T08:00:33.293891,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.983333333333333,71.09698996655518,-0.26666666666666666,Blue,2024-09-25T08:00:33.383686,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.13333333333333,84.33015332197616,-1.15,Blue,2024-09-25T08:00:33.493456,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.766666666666666,79.52819074333802,-1.9,Blue,2024-09-25T08:00:33.595989,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.066666666666666,90.95971563981043,-0.5166666666666667,Blue,2024-09-25T08:00:33.675490,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.033333333333335,72.37336747759282,-1.5,Blue,2024-09-25T08:00:33.764268,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
