road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.333333333333332,32.688620689655174,-1.25,Blue,2024-09-25T09:00:30.013037,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-25T09:00:30.130546,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-25T09:00:30.240368,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.183333333333334,84.26304558680891,-1.0666666666666667,Blue,2024-09-25T09:00:30.347885,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.483333333333333,91.39506531204646,-0.8,Blue,2024-09-25T09:00:30.439948,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.1,39.68780487804879,0.0,Blue,2024-09-25T09:00:30.554585,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-25T09:00:30.656594,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.9,93.85771812080536,-0.2833333333333333,Blue,2024-09-25T09:00:30.724070,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.183333333333334,54.02911051212938,-0.18333333333333332,Blue,2024-09-25T09:00:30.812411,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.166666666666666,47.6595918367347,-1.05,Blue,2024-09-25T09:00:30.902831,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,10.133333333333333,40.96184210526316,0.5333333333333333,Yellow,2024-09-25T09:00:30.995150,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.766666666666667,61.43456090651558,-0.8833333333333333,Blue,2024-09-25T09:00:31.095635,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-25T09:00:31.212112,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.283333333333335,33.73625685199686,3.95,Orange,2024-09-25T09:00:31.303040,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.083333333333334,38.558677685950414,0.48333333333333334,Yellow,2024-09-25T09:00:31.387556,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
