road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.716666666666665,33.60213713268032,-1.75,Blue,2024-09-25T10:00:30.181413,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-25T10:00:30.306260,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.25,38.13506493506493,-0.65,Blue,2024-09-25T10:00:30.429619,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.083333333333332,84.75629268292684,-1.1666666666666667,Blue,2024-09-25T10:00:30.559148,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.55,90.86753246753247,-0.7333333333333333,Blue,2024-09-25T10:00:30.668090,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.966666666666667,41.0218487394958,-0.13333333333333333,Blue,2024-09-25T10:00:30.779240,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-25T10:00:30.877734,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.816666666666666,94.38560179977503,-0.36666666666666664,Blue,2024-09-25T10:00:30.952497,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.3,53.028571428571425,-0.06666666666666667,Blue,2024-09-25T10:00:31.049734,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.6,67.85490196078432,-3.8333333333333335,Blue,2024-09-25T10:00:31.159288,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.933333333333334,41.78657718120805,0.3333333333333333,Blue,2024-09-25T10:00:31.266036,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.25,59.01061224489796,-0.4,Blue,2024-09-25T10:00:31.387004,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
