road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.6,33.81290322580645,-1.8666666666666667,Blue,2024-09-25T11:00:30.205501,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-25T11:00:30.354812,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.033333333333335,38.56917688266199,-0.8666666666666667,Blue,2024-09-25T11:00:30.479997,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.183333333333334,84.26304558680891,-1.0666666666666667,Blue,2024-09-25T11:00:30.598554,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.05,80.42298850574713,0.7666666666666667,Yellow,2024-09-25T11:00:30.704417,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9166666666666665,41.545531914893616,-0.18333333333333332,Blue,2024-09-25T11:00:30.810893,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-25T11:00:30.911493,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.133333333333333,92.41057268722466,-0.05,Blue,2024-09-25T11:00:30.986231,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-25T11:00:31.087720,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.95,67.0875605815832,-3.4833333333333334,Blue,2024-09-25T11:00:31.196360,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.6,43.2375,0.0,Blue,2024-09-25T11:00:31.349295,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.916666666666666,60.66125874125874,-0.7333333333333333,Blue,2024-09-25T11:00:31.444068,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-25T11:00:31.542650,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
