road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.666666666666668,33.692142857142855,-1.8,Blue,2024-09-25T12:00:30.461196,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-25T12:00:30.578945,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.283333333333335,38.069144338807256,-0.6166666666666667,Blue,2024-09-25T12:00:30.691993,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.883333333333333,85.760315893386,-1.3666666666666667,Blue,2024-09-25T12:00:30.807796,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.45,67.93009708737864,3.1666666666666665,Orange,2024-09-25T12:00:30.899365,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.0,40.68000000000001,-0.1,Blue,2024-09-25T12:00:30.999866,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-25T12:00:31.107323,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.75,94.81220338983051,-0.43333333333333335,Blue,2024-09-25T12:00:31.178383,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.283333333333333,53.169230769230765,-0.08333333333333333,Blue,2024-09-25T12:00:31.306922,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.616666666666667,67.81796407185628,-3.816666666666667,Blue,2024-09-25T12:00:31.407574,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-25T12:00:31.498061,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.833333333333334,61.088450704225345,-0.8166666666666667,Blue,2024-09-25T12:00:31.585017,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-25T12:00:31.665223,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.183333333333334,37.42936576889661,1.85,Yellow,2024-09-25T12:00:31.753037,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.95,43.441340782122914,-0.65,Blue,2024-09-25T12:00:31.834894,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.216666666666667,44.87127784290738,-0.7333333333333333,Blue,2024-09-25T12:00:31.934781,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.916666666666666,39.89729032258065,-0.18333333333333332,Blue,2024-09-25T12:00:32.029577,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.8,62.73243243243243,-0.21666666666666667,Blue,2024-09-25T12:00:32.112204,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.95,42.12050209205021,0.65,Yellow,2024-09-25T12:00:32.250677,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.983333333333333,53.91988873435327,-1.6666666666666667,Blue,2024-09-25T12:00:32.360114,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.116666666666667,49.58632855567806,-1.7666666666666666,Blue,2024-09-25T12:00:32.441944,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,21.233333333333334,43.36671899529042,7.916666666666667,Red,2024-09-25T12:00:32.522209,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.466666666666667,34.44123711340206,1.6333333333333333,Orange,2024-09-25T12:00:32.605471,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.8,45.68181818181818,-0.7666666666666667,Blue,2024-09-25T12:00:32.695612,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T12:00:32.907479,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.366666666666667,73.95059760956174,-0.4666666666666667,Blue,2024-09-25T12:00:32.996943,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.383333333333333,67.73135935397039,-1.2666666666666666,Blue,2024-09-25T12:00:33.069490,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.05,70.15841584158416,-0.2,Blue,2024-09-25T12:00:33.172261,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,50.5,65.3489108910891,10.216666666666667,Orange,2024-09-25T12:00:33.321641,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,34.63333333333333,54.57516843118383,8.966666666666667,Orange,2024-09-25T12:00:33.426877,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.866666666666667,92.2716346153846,-0.7166666666666667,Blue,2024-09-25T12:00:33.532368,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.95,72.60578034682081,-1.5833333333333333,Blue,2024-09-25T12:00:33.613661,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.233333333333333,87.34736842105264,-0.25,Blue,2024-09-25T12:00:33.697394,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.616666666666667,41.250290135396526,-0.31666666666666665,Blue,2024-09-25T12:00:33.781071,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,4.05,31.76296296296297,0.8666666666666667,Orange,2024-09-25T12:00:33.867977,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.016666666666667,104.09500756429652,-0.8166666666666667,Blue,2024-09-25T12:00:33.950384,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.966666666666667,73.08601252609603,0.35,Blue,2024-09-25T12:00:34.040572,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,6.266666666666667,24.75,1.9166666666666667,Orange,2024-09-25T12:00:34.119158,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
