road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.166666666666668,32.81321739130434,-1.3,Blue,2024-09-25T13:00:30.275413,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.133333333333334,23.448913043478257,-0.85,Blue,2024-09-25T13:00:30.426954,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-09-25T13:00:30.538268,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.7,66.72442396313365,3.45,Yellow,2024-09-25T13:00:30.657942,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,22.816666666666666,45.997954711468225,10.533333333333333,Red,2024-09-25T13:00:30.756749,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.0,32.544000000000004,0.9,Orange,2024-09-25T13:00:30.863295,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-25T13:00:30.965309,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.85,70.45239294710326,4.666666666666667,Orange,2024-09-25T13:00:31.038784,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.383333333333334,52.336292428198426,0.016666666666666666,Blue,2024-09-25T13:00:31.161250,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,31.216666666666665,66.51446876668447,-3.216666666666667,Blue,2024-09-25T13:00:31.318798,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-09-25T13:00:31.416762,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,15.15,53.82178217821782,1.0833333333333333,Yellow,2024-09-25T13:00:31.510258,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-25T13:00:31.595073,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,24.616666666666667,29.168043331076507,7.283333333333333,Orange,2024-09-25T13:00:31.690376,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.283333333333333,41.881508078994614,-0.31666666666666665,Blue,2024-09-25T13:00:31.789851,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.4,44.3,-0.55,Blue,2024-09-25T13:00:31.872219,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.833333333333334,40.156363636363636,-0.26666666666666666,Blue,2024-09-25T13:00:31.955752,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.95,62.103010033444825,-0.06666666666666667,Blue,2024-09-25T13:00:32.048942,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.85,42.47594936708861,0.55,Blue,2024-09-25T13:00:32.135111,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.516666666666667,47.803205918618985,-0.13333333333333333,Blue,2024-09-25T13:00:32.298166,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.233333333333334,46.17535934291581,-0.65,Blue,2024-09-25T13:00:32.431807,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.883333333333333,61.86920492721164,1.5666666666666667,Yellow,2024-09-25T13:00:32.525700,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.016666666666667,37.01717451523546,1.1833333333333333,Orange,2024-09-25T13:00:32.612422,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-25T13:00:32.703167,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T13:00:32.938421,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.65,71.52832369942196,-0.18333333333333332,Blue,2024-09-25T13:00:33.028897,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.3,68.19024390243902,-1.35,Blue,2024-09-25T13:00:33.099459,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.116666666666666,69.24429967426711,-0.13333333333333333,Blue,2024-09-25T13:00:33.218175,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,47.833333333333336,68.99205574912892,7.55,Yellow,2024-09-25T13:00:33.350305,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,38.46666666666667,49.136568457538985,12.8,Orange,2024-09-25T13:00:33.505061,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.75,93.05454545454546,-0.8333333333333334,Blue,2024-09-25T13:00:33.604788,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,31.433333333333334,59.94019088016968,3.9,Yellow,2024-09-25T13:00:33.697793,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,10.0,71.91600000000001,1.5166666666666666,Yellow,2024-09-25T13:00:33.777144,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,9.6,37.025,0.6666666666666666,Yellow,2024-09-25T13:00:33.868524,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.6,35.733333333333334,0.4166666666666667,Yellow,2024-09-25T13:00:34.001241,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.1,103.31351351351351,-0.7333333333333333,Blue,2024-09-25T13:00:34.097327,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
