road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.25,29.596235294117644,0.7833333333333333,Blue,2024-09-25T14:00:29.532788,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.3,22.82857142857143,-0.6833333333333333,Blue,2024-09-25T14:00:29.666968,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.25,38.13506493506493,-0.65,Blue,2024-09-25T14:00:29.788789,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.166666666666668,75.54365217391305,0.9166666666666666,Yellow,2024-09-25T14:00:29.931833,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,21.116666666666667,49.75785319652723,8.0,Red,2024-09-25T14:00:30.047031,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.566666666666666,24.779695431472085,2.466666666666667,Red,2024-09-25T14:00:30.146593,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-25T14:00:30.287355,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.116666666666667,81.70282375851995,1.9333333333333333,Yellow,2024-09-25T14:00:30.335701,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-09-25T14:00:30.479849,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.083333333333334,48.15092783505154,-1.1333333333333333,Blue,2024-09-25T14:00:30.587828,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.583333333333334,43.31269565217391,-0.016666666666666666,Blue,2024-09-25T14:00:30.690353,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,13.2,61.77272727272727,-0.8666666666666667,Blue,2024-09-25T14:00:30.778953,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-25T14:00:30.902793,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,26.533333333333335,27.06105527638191,9.2,Red,2024-09-25T14:00:30.997102,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.483333333333333,37.08744038155804,0.8833333333333333,Yellow,2024-09-25T14:00:31.095868,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.6,43.69315068493151,-0.35,Blue,2024-09-25T14:00:31.240453,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
