road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.85,28.78352402745995,1.3833333333333333,Yellow,2024-09-25T16:00:30.461107,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.35,22.648818897637796,-0.6333333333333333,Blue,2024-09-25T16:00:30.558379,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.583333333333332,37.485957446808506,-0.31666666666666665,Blue,2024-09-25T16:00:30.697511,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.15,79.77520661157025,-0.1,Blue,2024-09-25T16:00:30.812495,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,17.716666666666665,59.239134524929455,5.433333333333334,Orange,2024-09-25T16:00:30.907891,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.466666666666667,29.765853658536585,1.3666666666666667,Orange,2024-09-25T16:00:31.009839,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.333333333333332,47.51265306122449,-0.13333333333333333,Blue,2024-09-25T16:00:31.111240,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.15,86.59318885448917,0.9666666666666667,Yellow,2024-09-25T16:00:31.166468,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.65,50.2375939849624,0.2833333333333333,Blue,2024-09-25T16:00:31.309076,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.3,46.89397590361446,-0.9166666666666666,Blue,2024-09-25T16:00:31.405840,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-25T16:00:31.493070,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.2,59.25245901639345,-0.45,Blue,2024-09-25T16:00:31.589309,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-25T16:00:31.671290,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.85,31.42319474835886,5.516666666666667,Orange,2024-09-25T16:00:31.896928,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.133333333333333,38.36842105263158,0.5333333333333333,Yellow,2024-09-25T16:00:31.980886,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.616666666666667,43.64332953249715,-0.3333333333333333,Blue,2024-09-25T16:00:32.079035,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.683333333333334,40.63127463863338,-0.4166666666666667,Blue,2024-09-25T16:00:32.231444,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.133333333333333,61.35066079295154,0.11666666666666667,Blue,2024-09-25T16:00:32.380185,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.016666666666667,38.41165048543689,-0.05,Blue,2024-09-25T16:00:32.468164,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.733333333333333,50.74397905759163,-0.9166666666666666,Blue,2024-09-25T16:00:32.559342,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.283333333333335,46.03357215967247,-0.6,Blue,2024-09-25T16:00:32.667076,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,17.8,51.7314606741573,4.483333333333333,Orange,2024-09-25T16:00:32.759397,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.25,35.6352,1.4166666666666667,Orange,2024-09-25T16:00:32.843239,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.066666666666666,44.338235294117645,-0.5,Blue,2024-09-25T16:00:32.944082,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T16:00:33.163646,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.016666666666667,68.61959334565618,0.18333333333333332,Blue,2024-09-25T16:00:33.301613,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.966666666666667,64.68431876606684,-0.6833333333333333,Blue,2024-09-25T16:00:33.389478,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.483333333333333,64.61398176291793,0.23333333333333334,Blue,2024-09-25T16:00:33.618868,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,41.25,80.0029090909091,0.9666666666666667,Blue,2024-09-25T16:00:33.723004,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,29.466666666666665,64.14434389140271,3.8,Yellow,2024-09-25T16:00:33.837066,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.066666666666666,90.95971563981043,-0.5166666666666667,Blue,2024-09-25T16:00:33.921420,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.483333333333334,68.55500303214069,-0.05,Blue,2024-09-25T16:00:33.999707,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.783333333333333,81.87779886148009,0.3,Blue,2024-09-25T16:00:34.082742,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.933333333333334,39.788059701492536,0.0,Blue,2024-09-25T16:00:34.221276,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.2333333333333334,39.78556701030928,0.05,Blue,2024-09-25T16:00:34.382657,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.183333333333334,102.54366616989567,-0.65,Blue,2024-09-25T16:00:34.488641,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,24.166666666666668,48.28717241379311,8.55,Red,2024-09-25T16:00:34.588501,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.433333333333334,34.984962406015036,0.08333333333333333,Blue,2024-09-25T16:00:34.663261,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.466666666666667,62.22920792079208,-0.1,Blue,2024-09-25T16:00:34.765133,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.283333333333333,81.2913425345044,-0.6833333333333333,Blue,2024-09-25T16:00:34.855201,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,11.883333333333333,62.699579242636744,0.6333333333333333,Yellow,2024-09-25T16:00:34.957904,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.2,80.60487804878049,0.05,Blue,2024-09-25T16:00:35.028643,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.516666666666667,101.98263386396526,-0.6333333333333333,Blue,2024-09-25T16:00:35.072584,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,10.666666666666666,42.856875,3.1333333333333333,Orange,2024-09-25T16:00:35.181943,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,13.383333333333333,49.552677459526784,2.783333333333333,Orange,2024-09-25T16:00:35.328806,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,11.666666666666666,74.63314285714286,0.5833333333333334,Yellow,2024-09-25T16:00:35.431124,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,10.6,66.15849056603774,0.6333333333333333,Yellow,2024-09-25T16:00:35.524361,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.55,37.083557951482476,-0.13333333333333333,Blue,2024-09-25T16:00:35.642131,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.0,79.044,-0.6833333333333333,Blue,2024-09-25T16:00:35.713840,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,9.133333333333333,71.21824817518248,0.6833333333333333,Yellow,2024-09-25T16:00:35.809884,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.8666666666666667,37.22586206896552,0.15,Blue,2024-09-25T16:00:35.905971,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,19.2,55.453125,0.7333333333333333,Blue,2024-09-25T16:00:35.997487,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,14.462,32.0,27.11625,12.2,Red,2024-09-25T16:00:36.147284,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
