road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.783333333333335,31.790395956192075,-0.6833333333333333,Blue,2024-09-25T17:00:30.306750,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-25T17:00:30.427530,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.583333333333332,37.485957446808506,-0.31666666666666665,Blue,2024-09-25T17:00:30.536737,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.433333333333334,83.0546845124283,-0.8166666666666667,Blue,2024-09-25T17:00:30.654259,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.716666666666667,89.57496443812234,-0.5666666666666667,Blue,2024-09-25T17:00:30.757364,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.05,32.22178217821782,0.95,Orange,2024-09-25T17:00:30.853621,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-09-25T17:00:30.946804,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.366666666666667,91.00737527114967,0.18333333333333332,Blue,2024-09-25T17:00:31.007353,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.65,50.2375939849624,0.2833333333333333,Blue,2024-09-25T17:00:31.148737,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.383333333333333,46.42783300198807,-0.8333333333333334,Blue,2024-09-25T17:00:31.258756,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-25T17:00:31.371168,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.15,59.49629629629629,-0.5,Blue,2024-09-25T17:00:31.464566,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-09-25T17:00:31.558764,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.7,34.686956521739134,3.3666666666666667,Yellow,2024-09-25T17:00:31.657062,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.9,39.27272727272727,0.3,Blue,2024-09-25T17:00:31.740406,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.716666666666667,43.346772366930914,-0.23333333333333334,Blue,2024-09-25T17:00:31.837013,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.933333333333334,39.845876288659795,-0.16666666666666666,Blue,2024-09-25T17:00:31.916269,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.533333333333333,43.26650246305419,-0.8333333333333334,Blue,2024-09-25T17:00:32.012229,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.666666666666666,39.73736842105263,1.3666666666666667,Yellow,2024-09-25T17:00:32.125086,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.8,50.4796875,-0.85,Blue,2024-09-25T17:00:32.239814,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.216666666666665,46.222816032887984,-0.6666666666666666,Blue,2024-09-25T17:00:32.353031,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.233333333333333,75.27138964577657,-1.0833333333333333,Blue,2024-09-25T17:00:32.444181,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
