road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.166666666666668,31.186115702479334,-0.3,Blue,2024-09-25T19:00:29.985469,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-09-25T19:00:30.105297,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.466666666666665,37.71061643835616,-0.43333333333333335,Blue,2024-09-25T19:00:30.236541,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.216666666666665,84.09990319457891,-1.0333333333333334,Blue,2024-09-25T19:00:30.364646,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.616666666666667,90.34605451936872,-0.6666666666666666,Blue,2024-09-25T19:00:30.482188,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.25,38.287058823529414,0.15,Blue,2024-09-25T19:00:30.616025,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.416666666666668,47.27147208121826,-0.05,Blue,2024-09-25T19:00:30.722778,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.1,92.61456953642384,-0.08333333333333333,Blue,2024-09-25T19:00:30.785096,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.6,50.61818181818182,0.23333333333333334,Blue,2024-09-25T19:00:30.882244,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.546,32.43333333333333,63.90832476875644,-2.716666666666667,Blue,2024-09-25T19:00:31.015995,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.516666666666667,43.61611208406305,-0.08333333333333333,Blue,2024-09-25T19:00:31.109076,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.016666666666667,60.15644937586684,-0.6333333333333333,Blue,2024-09-25T19:00:31.221855,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0166666666666666,40.33591160220995,-0.03333333333333333,Blue,2024-09-25T19:00:31.359511,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.733333333333334,42.90956175298805,-0.6,Blue,2024-09-25T19:00:31.470750,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.483333333333333,37.08744038155804,0.8833333333333333,Yellow,2024-09-25T19:00:31.588811,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.866666666666667,42.90941704035874,-0.08333333333333333,Blue,2024-09-25T19:00:31.683259,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.6,40.900000000000006,-0.5,Blue,2024-09-25T19:00:31.761608,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.033333333333333,44.92634271099744,-1.3333333333333333,Blue,2024-09-25T19:00:31.856987,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.383333333333333,37.2742934051144,0.31666666666666665,Blue,2024-09-25T19:00:31.948684,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.95,49.894980694980696,-0.7,Blue,2024-09-25T19:00:32.041081,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.233333333333334,46.17535934291581,-0.65,Blue,2024-09-25T19:00:32.133367,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.166666666666666,75.68383561643836,-1.15,Blue,2024-09-25T19:00:32.257618,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.75,46.888421052631585,-0.08333333333333333,Blue,2024-09-25T19:00:32.363130,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.983333333333333,44.74953617810761,-0.5833333333333334,Blue,2024-09-25T19:00:32.466648,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T19:00:32.587281,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.55,64.78743455497381,0.7166666666666667,Yellow,2024-09-25T19:00:32.701720,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.0,64.51846153846154,-0.65,Blue,2024-09-25T19:00:32.767935,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.366666666666666,66.01863354037268,0.11666666666666667,Blue,2024-09-25T19:00:32.851579,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.733333333333334,85.20103270223753,-1.55,Blue,2024-09-25T19:00:32.948303,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.9,75.90843373493976,-0.7666666666666667,Blue,2024-09-25T19:00:33.050073,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.933333333333334,91.83014354066985,-0.65,Blue,2024-09-25T19:00:33.144045,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.516666666666666,71.05417976115652,-1.0166666666666666,Blue,2024-09-25T19:00:33.246905,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.383333333333333,85.78449304174951,-0.1,Blue,2024-09-25T19:00:33.347467,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.7,40.855172413793106,-0.23333333333333334,Blue,2024-09-25T19:00:33.453517,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1666666666666665,40.62315789473684,-0.016666666666666666,Blue,2024-09-25T19:00:33.550511,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.25,101.93599999999999,-0.5833333333333334,Blue,2024-09-25T19:00:33.650422,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.3,81.60419580419581,-1.3166666666666667,Blue,2024-09-25T19:00:33.739946,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.4,35.25,0.05,Blue,2024-09-25T19:00:33.830482,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.1,63.97099236641222,-0.4666666666666667,Blue,2024-09-25T19:00:33.934512,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.433333333333334,80.38362282878411,-0.5333333333333333,Blue,2024-09-25T19:00:34.006887,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,13.233333333333333,35.77329974811084,2.566666666666667,Orange,2024-09-25T19:00:34.105074,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,9.783333333333333,67.55979557069847,1.6333333333333333,Orange,2024-09-25T19:00:34.212378,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.55,101.68831168831169,-0.6,Blue,2024-09-25T19:00:34.254201,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.283333333333333,62.76521739130435,-0.25,Blue,2024-09-25T19:00:34.364719,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.533333333333333,62.96012658227849,-0.06666666666666667,Blue,2024-09-25T19:00:34.460117,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,10.583333333333334,82.27275590551181,-0.5,Blue,2024-09-25T19:00:34.550717,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.216666666666667,76.08824593128391,-0.75,Blue,2024-09-25T19:00:34.659484,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.433333333333334,37.31826401446654,-0.25,Blue,2024-09-25T19:00:34.772464,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.183333333333334,77.62094926350245,-0.5,Blue,2024-09-25T19:00:34.873898,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,7.833333333333333,83.03744680851062,-0.6166666666666667,Blue,2024-09-25T19:00:34.956034,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
