road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.966666666666665,31.49849749582638,-0.5,Blue,2024-09-25T21:00:30.036829,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-09-25T21:00:30.138976,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.55,37.549872122762146,-0.35,Blue,2024-09-25T21:00:30.242104,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.233333333333334,84.01856866537719,-1.0166666666666666,Blue,2024-09-25T21:00:30.367898,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.0,87.46,-0.2833333333333333,Blue,2024-09-25T21:00:30.457157,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8666666666666667,42.08275862068966,-0.23333333333333334,Blue,2024-09-25T21:00:30.547820,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-09-25T21:00:30.646872,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.883333333333333,93.96282194848824,-0.3,Blue,2024-09-25T21:00:30.689912,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.633333333333334,50.36381909547738,0.26666666666666666,Blue,2024-09-25T21:00:30.785372,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.166666666666666,47.6595918367347,-1.05,Blue,2024-09-25T21:00:30.872722,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.533333333333333,43.53986013986014,-0.06666666666666667,Blue,2024-09-25T21:00:30.961401,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.616666666666667,62.22783357245337,-1.0333333333333334,Blue,2024-09-25T21:00:31.046119,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-25T21:00:31.120002,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.116666666666667,44.55139607032058,-1.2166666666666666,Blue,2024-09-25T21:00:31.227607,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.683333333333334,44.77543186180422,-0.9166666666666666,Blue,2024-09-25T21:00:31.318919,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.5,43.99448275862069,-0.45,Blue,2024-09-25T21:00:31.399147,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.016666666666667,39.59078104993598,-0.08333333333333333,Blue,2024-09-25T21:00:31.466421,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.233333333333333,44.24735516372797,-1.1333333333333333,Blue,2024-09-25T21:00:31.544000,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.483333333333333,40.19564586357039,-0.5833333333333334,Blue,2024-09-25T21:00:31.646407,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.483333333333333,51.76021361815754,-1.1666666666666667,Blue,2024-09-25T21:00:31.740845,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-25T21:00:31.833708,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.516666666666667,63.43191733639494,1.2,Yellow,2024-09-25T21:00:31.913445,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-25T21:00:31.988808,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.066666666666666,44.338235294117645,-0.5,Blue,2024-09-25T21:00:32.069528,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T21:00:32.148768,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.583333333333334,64.56208695652172,0.75,Yellow,2024-09-25T21:00:32.248352,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.4,62.592537313432835,-0.25,Blue,2024-09-25T21:00:32.336039,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.25,67.4857142857143,0.0,Blue,2024-09-25T21:00:32.415969,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,45.483333333333334,72.55668743129351,5.2,Yellow,2024-09-25T21:00:32.544529,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
