road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.816666666666666,33.423560673162086,-1.65,Blue,2024-09-25T22:00:30.136994,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.816666666666666,24.725501432664753,-1.1666666666666667,Blue,2024-09-25T22:00:30.235956,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.983333333333334,36.735613010842364,0.08333333333333333,Blue,2024-09-25T22:00:30.352565,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.166666666666668,84.34485436893203,-1.0833333333333333,Blue,2024-09-25T22:00:30.455327,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,14.916666666666666,70.35888268156425,2.6333333333333333,Orange,2024-09-25T22:00:30.556379,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.683333333333333,44.177375565610866,-0.4166666666666667,Blue,2024-09-25T22:00:30.647600,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.333333333333332,47.51265306122449,-0.13333333333333333,Blue,2024-09-25T22:00:30.744121,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.916666666666666,93.75284916201119,-0.26666666666666666,Blue,2024-09-25T22:00:30.805933,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.566666666666666,50.875126903553294,0.2,Blue,2024-09-25T22:00:30.901317,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.766666666666667,50.114163090128756,-1.45,Blue,2024-09-25T22:00:31.008911,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.65,43.013471502590676,0.05,Blue,2024-09-25T22:00:31.080883,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.6,62.317241379310346,-1.05,Blue,2024-09-25T22:00:31.161910,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-25T22:00:31.239971,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.033333333333335,44.78295218295218,-1.3,Blue,2024-09-25T22:00:31.331105,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.716666666666667,44.604206500956025,-0.8833333333333333,Blue,2024-09-25T22:00:31.412642,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.5,43.99448275862069,-0.45,Blue,2024-09-25T22:00:31.484407,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.333333333333334,38.6505,0.23333333333333334,Blue,2024-09-25T22:00:31.562661,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.483333333333333,43.42694684796045,-0.8833333333333333,Blue,2024-09-25T22:00:31.643550,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.933333333333334,46.037195121951214,-0.36666666666666664,Blue,2024-09-25T22:00:31.726074,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.333333333333334,52.38972972972972,-1.3166666666666667,Blue,2024-09-25T22:00:31.805804,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-09-25T22:00:31.886653,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.85,66.48519855595667,0.5333333333333333,Blue,2024-09-25T22:00:31.961568,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.916666666666667,45.29898305084746,0.08333333333333333,Blue,2024-09-25T22:00:32.037691,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.116666666666667,44.095063985374765,-0.45,Blue,2024-09-25T22:00:32.117342,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-25T22:00:32.323854,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.316666666666666,66.41001788908765,0.48333333333333334,Yellow,2024-09-25T22:00:32.420230,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.983333333333333,59.98140643623361,0.3333333333333333,Blue,2024-09-25T22:00:32.488726,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.35,66.22429906542057,0.1,Blue,2024-09-25T22:00:32.565540,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,43.18333333333333,76.421150135083,2.9,Yellow,2024-09-25T22:00:32.651498,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.5,77.14775510204082,-1.1666666666666667,Blue,2024-09-25T22:00:32.761849,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.416666666666666,88.7514450867052,-0.16666666666666666,Blue,2024-09-25T22:00:32.833717,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.566666666666666,70.92045169385194,-0.9666666666666667,Blue,2024-09-25T22:00:32.912381,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.2,87.70243902439026,-0.2833333333333333,Blue,2024-09-25T22:00:32.989533,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.416666666666666,42.23049504950495,-0.5166666666666667,Blue,2024-09-25T22:00:33.065051,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.05,42.17704918032788,-0.13333333333333333,Blue,2024-09-25T22:00:33.150659,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,16.95,67.6566371681416,5.116666666666666,Orange,2024-09-25T22:00:33.231921,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.316666666666666,81.50919674039582,-1.3,Blue,2024-09-25T22:00:33.328292,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.1,37.829268292682926,-0.25,Blue,2024-09-25T22:00:33.411998,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.816666666666666,56.559280089988754,1.25,Yellow,2024-09-25T22:00:33.510001,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.116666666666667,82.32426937738246,-0.85,Blue,2024-09-25T22:00:33.584546,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.716666666666667,48.72041166380789,-0.95,Blue,2024-09-25T22:00:33.659337,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,9.65,68.49326424870466,1.5,Yellow,2024-09-25T22:00:33.730106,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,17.3,67.89017341040463,5.15,Orange,2024-09-25T22:00:33.766343,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.2,63.49166666666666,-0.3333333333333333,Blue,2024-09-25T22:00:33.845305,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.133333333333333,65.4453947368421,-0.4666666666666667,Blue,2024-09-25T22:00:33.927397,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.966666666666667,87.36321070234114,-1.1166666666666667,Blue,2024-09-25T22:00:34.020861,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,10.65,65.84788732394365,0.6833333333333333,Yellow,2024-09-25T22:00:34.100176,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.983333333333334,36.23705004389816,0.3,Blue,2024-09-25T22:00:34.189798,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.916666666666666,79.70823529411764,-0.7666666666666667,Blue,2024-09-25T22:00:34.259417,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,7.333333333333333,88.69909090909091,-1.1166666666666667,Blue,2024-09-25T22:00:34.355561,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.7,38.902702702702705,-0.016666666666666666,Blue,2024-09-25T22:00:34.447999,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
