road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.25,34.4613698630137,-2.216666666666667,Blue,2024-09-26T00:00:30.075002,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.816666666666666,24.725501432664753,-1.1666666666666667,Blue,2024-09-26T00:00:30.195429,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.833333333333332,37.01344537815126,-0.06666666666666667,Blue,2024-09-26T00:00:30.292427,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.833333333333332,86.0150495049505,-1.4166666666666667,Blue,2024-09-26T00:00:30.385993,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.316666666666666,92.74108983799705,-0.9666666666666667,Blue,2024-09-26T00:00:30.465755,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5,46.49142857142857,-0.6,Blue,2024-09-26T00:00:30.570283,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-26T00:00:30.646817,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.566666666666666,96.00549199084668,-0.6166666666666667,Blue,2024-09-26T00:00:30.694406,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.35,52.61102362204725,-0.016666666666666666,Blue,2024-09-26T00:00:30.780393,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-26T00:00:30.868070,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-26T00:00:30.961562,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.45,63.133624454148475,-1.2,Blue,2024-09-26T00:00:31.038752,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-26T00:00:31.116806,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.283333333333335,44.09539406345957,-1.05,Blue,2024-09-26T00:00:31.202215,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.916666666666666,43.60373831775701,-0.6833333333333333,Blue,2024-09-26T00:00:31.285747,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.183333333333334,42.01448957189901,0.23333333333333334,Blue,2024-09-26T00:00:31.356931,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.6,37.892647058823535,0.5,Blue,2024-09-26T00:00:31.425674,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.65,42.89670329670329,-0.7166666666666667,Blue,2024-09-26T00:00:31.502168,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.866666666666667,46.31963190184049,-0.43333333333333335,Blue,2024-09-26T00:00:31.576964,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.35,52.31902834008097,-1.3,Blue,2024-09-26T00:00:31.657247,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.25,46.12800000000001,-0.6333333333333333,Blue,2024-09-26T00:00:31.741238,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.7,67.21313868613139,0.38333333333333336,Blue,2024-09-26T00:00:31.813704,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.9,45.453061224489794,0.06666666666666667,Blue,2024-09-26T00:00:31.886219,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-09-26T00:00:31.964236,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T00:00:32.109482,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.4,65.82127659574468,0.5666666666666667,Yellow,2024-09-26T00:00:32.193964,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.25,63.3011320754717,-0.4,Blue,2024-09-26T00:00:32.263299,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.3,66.84905660377359,0.05,Blue,2024-09-26T00:00:32.350423,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.21666666666667,78.17102250296091,1.9333333333333333,Blue,2024-09-26T00:00:32.466559,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.683333333333334,79.80802251935256,-1.9833333333333334,Blue,2024-09-26T00:00:32.574029,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.283333333333333,89.57992998833139,-0.3,Blue,2024-09-26T00:00:32.650499,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.1,72.18850574712644,-1.4333333333333333,Blue,2024-09-26T00:00:32.718402,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.066666666666666,89.15206611570248,-0.4166666666666667,Blue,2024-09-26T00:00:32.795136,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.416666666666666,42.23049504950495,-0.5166666666666667,Blue,2024-09-26T00:00:32.882686,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.95,43.60677966101695,-0.23333333333333334,Blue,2024-09-26T00:00:32.964508,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,15.166666666666666,75.61186813186814,3.3333333333333335,Orange,2024-09-26T00:00:33.030360,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.833333333333334,84.35710843373494,-1.7833333333333334,Blue,2024-09-26T00:00:33.102107,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.966666666666667,39.10084033613445,-0.38333333333333336,Blue,2024-09-26T00:00:33.173498,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.583333333333334,57.46422857142858,1.0166666666666666,Yellow,2024-09-26T00:00:33.252849,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.983333333333333,83.16970474967908,-0.9833333333333333,Blue,2024-09-26T00:00:33.334350,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.866666666666667,53.39097744360902,-1.8,Blue,2024-09-26T00:00:33.407447,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
