road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.566666666666666,33.87360861759425,-1.9,Blue,2024-09-26T01:00:30.374141,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.833333333333333,24.65485714285714,-1.15,Blue,2024-09-26T01:00:30.477973,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.783333333333335,37.10699241786015,-0.11666666666666667,Blue,2024-09-26T01:00:30.578468,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.766666666666666,86.35705765407555,-1.4833333333333334,Blue,2024-09-26T01:00:30.684271,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.466666666666667,91.52790697674419,-0.8166666666666667,Blue,2024-09-26T01:00:30.793903,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.75,43.392,-0.35,Blue,2024-09-26T01:00:30.884496,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.316666666666666,47.5611848825332,-0.15,Blue,2024-09-26T01:00:30.990697,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.416666666666666,97.00439306358382,-0.7666666666666667,Blue,2024-09-26T01:00:31.054975,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.333333333333333,52.74947368421052,-0.03333333333333333,Blue,2024-09-26T01:00:31.148514,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.083333333333334,48.15092783505154,-1.1333333333333333,Blue,2024-09-26T01:00:31.273675,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-26T01:00:31.344840,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.683333333333334,61.872753209700434,-0.9666666666666667,Blue,2024-09-26T01:00:31.428551,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8666666666666667,42.44651162790697,-0.18333333333333332,Blue,2024-09-26T01:00:31.517296,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.533333333333335,43.42862903225806,-0.8,Blue,2024-09-26T01:00:31.600274,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.1,42.72527472527473,-0.5,Blue,2024-09-26T01:00:31.697453,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.25,41.83081967213115,0.3,Blue,2024-09-26T01:00:31.780999,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.966666666666667,36.89785202863962,0.8666666666666667,Yellow,2024-09-26T01:00:31.853959,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.7,42.74014598540146,-0.6666666666666666,Blue,2024-09-26T01:00:31.943650,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.933333333333334,46.037195121951214,-0.36666666666666664,Blue,2024-09-26T01:00:32.025963,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.283333333333333,52.602985074626865,-1.3666666666666667,Blue,2024-09-26T01:00:32.101489,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.3,45.98650306748466,-0.5833333333333334,Blue,2024-09-26T01:00:32.173113,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.25,69.49584905660377,-0.06666666666666667,Blue,2024-09-26T01:00:32.255866,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.083333333333333,43.81377049180328,0.25,Yellow,2024-09-26T01:00:32.335079,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.25,43.45945945945946,-0.31666666666666665,Blue,2024-09-26T01:00:32.418665,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T01:00:32.609870,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.333333333333334,66.29142857142857,0.5,Yellow,2024-09-26T01:00:32.688729,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.15,63.782509505703416,-0.5,Blue,2024-09-26T01:00:32.765697,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.3,66.84905660377359,0.05,Blue,2024-09-26T01:00:32.844083,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.88333333333333,84.87235319331334,-1.4,Blue,2024-09-26T01:00:32.946511,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.483333333333334,80.48772178850248,-2.183333333333333,Blue,2024-09-26T01:00:33.051256,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.766666666666667,86.64785553047403,0.18333333333333332,Blue,2024-09-26T01:00:33.126450,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.0,72.46615384615384,-1.5333333333333334,Blue,2024-09-26T01:00:33.199535,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.183333333333334,87.88105906313646,-0.3,Blue,2024-09-26T01:00:33.284160,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.45,42.0639053254438,-0.48333333333333334,Blue,2024-09-26T01:00:33.374131,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.9833333333333334,43.1195530726257,-0.2,Blue,2024-09-26T01:00:33.465416,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,12.966666666666667,88.44061696658098,1.1333333333333333,Yellow,2024-09-26T01:00:33.534186,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.366666666666667,81.22552204176334,-1.25,Blue,2024-09-26T01:00:33.611775,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.8666666666666667,40.11206896551724,-0.48333333333333334,Blue,2024-09-26T01:00:33.687376,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.033333333333333,59.716389548693584,0.4666666666666667,Blue,2024-09-26T01:00:33.762489,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.933333333333334,83.49123711340206,-1.0333333333333334,Blue,2024-09-26T01:00:33.843541,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.066666666666666,52.213235294117645,-1.6,Blue,2024-09-26T01:00:33.918605,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,9.25,71.45513513513514,1.1,Yellow,2024-09-26T01:00:33.991149,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,13.366666666666667,87.86783042394013,1.2166666666666666,Yellow,2024-09-26T01:00:34.028416,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.383333333333334,61.915124153498866,-0.15,Blue,2024-09-26T01:00:34.119812,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.033333333333333,66.09767441860465,-0.5666666666666667,Blue,2024-09-26T01:00:34.195258,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.566666666666666,91.01602787456446,-1.5166666666666666,Blue,2024-09-26T01:00:34.274167,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.433333333333334,74.34063604240282,-0.5333333333333333,Blue,2024-09-26T01:00:34.365512,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.75,36.688,0.06666666666666667,Blue,2024-09-26T01:00:34.453564,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.883333333333333,79.977065767285,-0.8,Blue,2024-09-26T01:00:34.529224,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
