road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.55,32.169820971867004,-0.9166666666666666,Blue,2024-09-26T05:00:30.092950,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-26T05:00:30.230920,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.1,38.43455497382198,-0.8,Blue,2024-09-26T05:00:30.337553,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.35,88.55779816513761,-1.9,Blue,2024-09-26T05:00:30.433604,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.05,94.979185520362,-1.2333333333333334,Blue,2024-09-26T05:00:30.516197,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.933333333333333,41.36949152542374,-0.16666666666666666,Blue,2024-09-26T05:00:30.606697,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-26T05:00:30.692219,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.316666666666666,97.68195576251455,-0.8666666666666667,Blue,2024-09-26T05:00:30.754572,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.85,57.10769230769231,-0.5166666666666667,Blue,2024-09-26T05:00:30.834301,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.516666666666666,68.0401966138722,-3.9166666666666665,Blue,2024-09-26T05:00:30.956897,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-26T05:00:31.034815,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.466666666666667,63.04186046511628,-1.1833333333333333,Blue,2024-09-26T05:00:31.116425,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
