road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.766666666666666,33.51261101243339,-1.7,Blue,2024-09-26T06:00:30.519870,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-26T06:00:30.624219,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.25,38.13506493506493,-0.65,Blue,2024-09-26T06:00:30.727473,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.316666666666666,88.73871297242084,-1.9333333333333333,Blue,2024-09-26T06:00:30.836459,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.383333333333333,92.19795021961934,-0.9,Blue,2024-09-26T06:00:30.949888,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9166666666666665,41.545531914893616,-0.18333333333333332,Blue,2024-09-26T06:00:31.043040,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-26T06:00:31.137423,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.216666666666667,98.36905041031652,-0.9666666666666667,Blue,2024-09-26T06:00:31.178252,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-26T06:00:31.339891,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.15,47.75705521472393,-1.0666666666666667,Blue,2024-09-26T06:00:31.501868,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.333333333333334,44.472857142857144,-0.26666666666666666,Blue,2024-09-26T06:00:31.574830,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.65,62.04978540772532,-1.0,Blue,2024-09-26T06:00:31.655699,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-26T06:00:31.734865,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.633333333333333,43.16753507014028,-0.7,Blue,2024-09-26T06:00:31.814864,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.35,41.58288770053476,-0.25,Blue,2024-09-26T06:00:31.898718,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.916666666666666,42.76558659217877,-0.03333333333333333,Blue,2024-09-26T06:00:31.978182,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.783333333333333,40.313428943937424,-0.31666666666666665,Blue,2024-09-26T06:00:32.047751,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.583333333333334,43.107239263803685,-0.7833333333333333,Blue,2024-09-26T06:00:32.144306,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
