road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.483333333333334,30.703986981285595,0.016666666666666666,Blue,2024-09-26T08:00:30.068997,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-09-26T08:00:30.185647,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-09-26T08:00:30.310758,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.6,87.22409638554217,-1.65,Blue,2024-09-26T08:00:30.447075,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.283333333333333,93.01506646971936,-1.0,Blue,2024-09-26T08:00:30.558385,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.783333333333333,43.009691629955945,-0.31666666666666665,Blue,2024-09-26T08:00:30.663326,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-26T08:00:30.756425,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.216666666666667,98.36905041031652,-0.9666666666666667,Blue,2024-09-26T08:00:30.803655,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.1,54.7672131147541,-0.26666666666666666,Blue,2024-09-26T08:00:30.907111,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.9,49.268354430379745,-1.3166666666666667,Blue,2024-09-26T08:00:30.998170,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-26T08:00:31.088952,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.733333333333333,61.60909090909092,-0.9166666666666666,Blue,2024-09-26T08:00:31.211415,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-26T08:00:31.326423,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.016666666666666,35.87110741049126,2.683333333333333,Yellow,2024-09-26T08:00:31.442593,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.833333333333334,39.53898305084746,0.23333333333333334,Blue,2024-09-26T08:00:31.568267,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.166666666666666,45.02964705882353,-0.7833333333333333,Blue,2024-09-26T08:00:31.657822,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.85,40.10428015564202,-0.25,Blue,2024-09-26T08:00:31.734997,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.333333333333334,60.55043478260869,0.31666666666666665,Blue,2024-09-26T08:00:31.819961,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.3,44.543362831858396,0.0,Blue,2024-09-26T08:00:31.908133,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.283333333333333,52.602985074626865,-1.3666666666666667,Blue,2024-09-26T08:00:31.987555,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.333333333333334,48.88565217391304,-1.55,Blue,2024-09-26T08:00:32.066622,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.633333333333333,67.54180929095355,0.31666666666666665,Blue,2024-09-26T08:00:32.168904,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.133333333333334,43.38701298701299,0.3,Yellow,2024-09-26T08:00:32.267069,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-26T08:00:32.363279,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T08:00:32.465978,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.9,69.51910112359549,0.06666666666666667,Blue,2024-09-26T08:00:32.564011,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.466666666666667,67.27860962566844,-1.1833333333333333,Blue,2024-09-26T08:00:32.635518,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.1,69.47058823529413,-0.15,Blue,2024-09-26T08:00:32.719039,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.21666666666667,86.35290013083298,-2.066666666666667,Blue,2024-09-26T08:00:32.807879,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.616666666666667,80.0333098094566,-2.05,Blue,2024-09-26T08:00:32.913339,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.083333333333334,90.85207100591715,-0.5,Blue,2024-09-26T08:00:32.992870,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.716666666666665,73.26454957874272,-1.8166666666666667,Blue,2024-09-26T08:00:33.081565,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.1,88.7851851851852,-0.38333333333333336,Blue,2024-09-26T08:00:33.169894,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.316666666666666,42.73827655310622,-0.6166666666666667,Blue,2024-09-26T08:00:33.260863,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.3666666666666667,38.20990099009901,0.18333333333333332,Yellow,2024-09-26T08:00:33.365011,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.766666666666667,106.51207430340556,-1.0666666666666667,Blue,2024-09-26T08:00:33.447683,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.316666666666666,76.18759521218716,-0.3,Blue,2024-09-26T08:00:33.532837,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.416666666666667,35.11698113207547,0.06666666666666667,Blue,2024-09-26T08:00:33.617754,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.933333333333334,64.79536082474227,-0.6333333333333333,Blue,2024-09-26T08:00:33.705026,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.866666666666667,83.92383419689118,-1.1,Blue,2024-09-26T08:00:33.792713,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.633333333333333,37.47229551451187,1.9666666666666666,Yellow,2024-09-26T08:00:33.874581,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.75,85.28516129032258,-0.4,Blue,2024-09-26T08:00:33.961196,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.066666666666666,106.12951807228916,-1.0833333333333333,Blue,2024-09-26T08:00:34.004767,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
