road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.166666666666668,32.97286956521739,-1.4166666666666667,Blue,2024-09-26T09:00:30.068548,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-09-26T09:00:30.205956,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-26T09:00:30.323435,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-09-26T09:00:30.465749,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.583333333333334,90.60604316546763,-0.7,Blue,2024-09-26T09:00:30.583106,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8833333333333333,41.90214592274678,-0.21666666666666667,Blue,2024-09-26T09:00:30.695111,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-26T09:00:30.806997,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.466666666666667,96.66912442396314,-0.7166666666666667,Blue,2024-09-26T09:00:30.849977,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.033333333333333,55.37237569060773,-0.3333333333333333,Blue,2024-09-26T09:00:30.952366,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,31.116666666666667,66.72822710230317,-3.316666666666667,Blue,2024-09-26T09:00:31.072906,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.616666666666667,43.162564991334484,0.016666666666666666,Blue,2024-09-26T09:00:31.175717,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.983333333333333,60.323783031988874,-0.6666666666666666,Blue,2024-09-26T09:00:31.308523,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-26T09:00:31.405401,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.75,36.35544303797469,2.4166666666666665,Yellow,2024-09-26T09:00:31.496062,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.033333333333333,35.238670694864055,1.4333333333333333,Yellow,2024-09-26T09:00:31.595967,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-26T09:00:31.699712,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.55,41.06294820717132,-0.55,Blue,2024-09-26T09:00:31.787039,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,13.74,14.566666666666666,56.59496567505721,0.26666666666666666,Blue,2024-09-26T09:00:31.874143,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,14.1,35.69787234042553,2.8,Orange,2024-09-26T09:00:31.964887,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.05,53.62157676348548,-1.6,Blue,2024-09-26T09:00:32.062398,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.35,48.832573289902285,-1.5333333333333334,Blue,2024-09-26T09:00:32.143667,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
