road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.85,31.68362720403022,-0.6166666666666667,Blue,2024-09-26T11:00:30.441904,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-26T11:00:30.566426,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.083333333333332,38.468122270742356,-0.8166666666666667,Blue,2024-09-26T11:00:30.667658,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.15,84.42682215743442,-1.1,Blue,2024-09-26T11:00:30.788155,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.05,87.09709543568465,-0.23333333333333334,Blue,2024-09-26T11:00:30.906281,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.2,38.74285714285714,0.1,Blue,2024-09-26T11:00:31.021704,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-09-26T11:00:31.130443,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.716666666666667,95.02695356738391,-0.4666666666666667,Blue,2024-09-26T11:00:31.178785,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.183333333333334,54.02911051212938,-0.18333333333333332,Blue,2024-09-26T11:00:31.304173,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.866666666666666,49.4771186440678,-1.35,Blue,2024-09-26T11:00:31.452215,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.516666666666667,43.61611208406305,-0.08333333333333333,Blue,2024-09-26T11:00:31.550321,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.583333333333334,62.40690647482014,-1.0666666666666667,Blue,2024-09-26T11:00:31.629226,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-26T11:00:31.704994,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.866666666666667,36.14194630872483,2.533333333333333,Yellow,2024-09-26T11:00:31.788952,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.25,42.03243243243244,-0.35,Blue,2024-09-26T11:00:31.882133,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.066666666666666,45.34976303317536,-0.8833333333333333,Blue,2024-09-26T11:00:31.957287,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.566666666666666,41.00848806366048,-0.5333333333333333,Blue,2024-09-26T11:00:32.030770,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.55,60.4041237113402,-0.43333333333333335,Blue,2024-09-26T11:00:32.117939,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.383333333333333,44.21727672035139,0.08333333333333333,Blue,2024-09-26T11:00:32.239359,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.0,53.845,-1.65,Blue,2024-09-26T11:00:32.342370,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.15,49.47722772277228,-1.7333333333333334,Blue,2024-09-26T11:00:32.434323,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.716666666666667,72.41048492791612,-0.6,Blue,2024-09-26T11:00:32.507648,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.916666666666667,45.29898305084746,0.08333333333333333,Blue,2024-09-26T11:00:32.581067,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.75,45.94285714285714,-0.8166666666666667,Blue,2024-09-26T11:00:32.674381,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T11:00:32.776859,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.066666666666666,76.70082644628098,-0.7666666666666667,Blue,2024-09-26T11:00:32.870303,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.533333333333333,66.92074468085106,-1.1166666666666667,Blue,2024-09-26T11:00:32.944609,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.083333333333333,69.69836065573772,-0.16666666666666666,Blue,2024-09-26T11:00:33.034182,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,61.266666666666666,53.86485310119696,20.983333333333334,Red,2024-09-26T11:00:33.155432,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,29.966666666666665,63.07408231368187,4.3,Yellow,2024-09-26T11:00:33.264428,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.116666666666667,90.6375442739079,-0.4666666666666667,Blue,2024-09-26T11:00:33.366428,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.266666666666666,71.73045685279189,-1.2666666666666666,Blue,2024-09-26T11:00:33.454950,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.25,87.17090909090909,-0.23333333333333334,Blue,2024-09-26T11:00:33.541157,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.35,42.56766467065869,-0.5833333333333334,Blue,2024-09-26T11:00:33.622392,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,4.016666666666667,32.02655601659751,0.8333333333333334,Orange,2024-09-26T11:00:33.710953,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.633333333333333,107.8476489028213,-1.2,Blue,2024-09-26T11:00:33.789124,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.0,77.796,-0.6166666666666667,Blue,2024-09-26T11:00:33.870064,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.833333333333333,32.0896551724138,0.48333333333333334,Yellow,2024-09-26T11:00:33.946631,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.416666666666666,67.49154362416108,-1.15,Blue,2024-09-26T11:00:34.052770,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.066666666666666,82.63928571428572,-0.9,Blue,2024-09-26T11:00:34.157972,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,11.916666666666666,39.72587412587413,1.25,Yellow,2024-09-26T11:00:34.273474,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.433333333333334,88.91838565022421,-0.7166666666666667,Blue,2024-09-26T11:00:34.358476,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,10.933333333333334,107.42378048780488,-1.2166666666666666,Blue,2024-09-26T11:00:34.399537,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.7,68.22985074626865,-0.8333333333333334,Blue,2024-09-26T11:00:34.491520,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,12.266666666666667,54.06358695652174,1.6666666666666667,Yellow,2024-09-26T11:00:34.610637,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,23.0,37.85739130434782,11.916666666666666,Dark Red,2024-09-26T11:00:34.703455,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,15.35,45.685993485342024,5.383333333333334,Red,2024-09-26T11:00:34.804358,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.016666666666666,38.18131359851989,-0.6666666666666666,Blue,2024-09-26T11:00:34.930120,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.133333333333333,78.00394736842105,-0.55,Blue,2024-09-26T11:00:35.041736,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,14.233333333333333,45.69976580796253,5.783333333333333,Red,2024-09-26T11:00:35.187027,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.75,38.384,0.03333333333333333,Blue,2024-09-26T11:00:35.310718,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,21.366666666666667,49.82995319812793,2.9,Yellow,2024-09-26T11:00:35.420738,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,21.266666666666666,35.55423197492163,8.15,Red,2024-09-26T11:00:35.554438,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.5,22.603636363636365,0.11666666666666667,Blue,2024-09-26T11:00:35.646335,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.834,29.4,58.844897959183676,4.916666666666667,Orange,2024-09-26T11:00:35.805610,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.55,42.95438596491228,-0.9,Blue,2024-09-26T11:00:35.891269,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,27.233333333333334,36.77331701346389,10.883333333333333,Red,2024-09-26T11:00:36.014367,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,8.933333333333334,84.85522388059701,-0.6833333333333333,Blue,2024-09-26T11:00:36.100497,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,9.6,30.10625,-0.23333333333333334,Blue,2024-09-26T11:00:36.214085,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.55,69.62886597938144,-1.0666666666666667,Blue,2024-09-26T11:00:36.329598,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,17.783333333333335,48.75014058106841,3.3333333333333335,Orange,2024-09-26T11:00:36.417954,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.8833333333333333,36.55622317596567,-0.05,Blue,2024-09-26T11:00:36.499768,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.266666666666666,94.43430656934308,-2.1333333333333333,Blue,2024-09-26T11:00:36.598525,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.2,39.41538461538461,-0.3,Blue,2024-09-26T11:00:36.687505,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,17.883333333333333,45.01845293569431,-0.2833333333333333,Blue,2024-09-26T11:00:36.773765,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,12.183333333333334,56.16196990424076,-0.21666666666666667,Blue,2024-09-26T11:00:36.859397,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.466666666666667,61.30975609756098,-0.1,Blue,2024-09-26T11:00:36.944930,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,15.316666666666666,50.76039173014146,1.0,Yellow,2024-09-26T11:00:37.024858,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.433333333333334,44.87631103074141,-3.0166666666666666,Blue,2024-09-26T11:00:37.126471,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,26.483333333333334,54.76123348017621,5.3,Orange,2024-09-26T11:00:37.300881,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,20.366666666666667,66.18756137479542,2.533333333333333,Yellow,2024-09-26T11:00:37.385969,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.9833333333333334,40.84692737430168,-0.1,Blue,2024-09-26T11:00:37.467327,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.511,27.666666666666668,40.14433734939759,5.716666666666667,Orange,2024-09-26T11:00:37.584170,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,8.45,43.05798816568048,1.15,Yellow,2024-09-26T11:00:37.680863,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,14.366666666666667,46.88352668213457,2.75,Orange,2024-09-26T11:00:37.771741,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.103,15.366666666666667,43.35227765726681,0.8833333333333333,Yellow,2024-09-26T11:00:37.878722,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,12.587,18.583333333333332,40.63964125560538,5.266666666666667,Orange,2024-09-26T11:00:37.963660,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.844,12.816666666666666,50.765149544863455,0.6666666666666666,Yellow,2024-09-26T11:00:38.042182,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,12.15,52.148148148148145,0.21666666666666667,Blue,2024-09-26T11:00:38.132345,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
