road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.8,31.76363636363636,-0.6666666666666666,Blue,2024-09-26T12:00:30.379579,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.016666666666667,23.90360110803324,-0.9666666666666667,Blue,2024-09-26T12:00:30.491814,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-09-26T12:00:30.602205,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.55,82.5025641025641,-0.7,Blue,2024-09-26T12:00:30.729961,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.233333333333333,68.89628008752736,2.95,Orange,2024-09-26T12:00:30.827912,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.133333333333334,39.36774193548386,0.03333333333333333,Blue,2024-09-26T12:00:30.929070,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-26T12:00:31.037278,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.1,92.61456953642384,-0.08333333333333333,Blue,2024-09-26T12:00:31.085141,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-09-26T12:00:31.184679,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,7.9,49.268354430379745,-1.3166666666666667,Blue,2024-09-26T12:00:31.314286,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.583333333333334,43.31269565217391,-0.016666666666666666,Blue,2024-09-26T12:00:31.415345,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.5,62.85913043478261,-1.15,Blue,2024-09-26T12:00:31.543940,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-26T12:00:31.638192,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.6,36.63367346938775,2.2666666666666666,Yellow,2024-09-26T12:00:31.766180,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.1,42.72527472527473,-0.5,Blue,2024-09-26T12:00:31.888583,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.183333333333334,44.97673325499412,-0.7666666666666667,Blue,2024-09-26T12:00:31.994564,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.9,39.948837209302326,-0.2,Blue,2024-09-26T12:00:32.094015,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.533333333333333,60.47339449541284,-0.45,Blue,2024-09-26T12:00:32.205434,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.183333333333334,45.0080476900149,-0.11666666666666667,Blue,2024-09-26T12:00:32.321503,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.966666666666667,53.994986072423394,-1.6833333333333333,Blue,2024-09-26T12:00:32.420412,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.3,48.9921568627451,-1.5833333333333333,Blue,2024-09-26T12:00:32.530507,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,17.666666666666668,52.12188679245283,4.35,Orange,2024-09-26T12:00:32.630249,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
