road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.7,32.08020304568528,-0.8833333333333333,Blue,2024-09-26T13:00:30.365249,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.9,20.843478260869563,-0.08333333333333333,Blue,2024-09-26T13:00:30.487687,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-26T13:00:30.603828,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.683333333333334,66.77571099154497,3.433333333333333,Yellow,2024-09-26T13:00:30.716652,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,20.15,52.08535980148884,7.866666666666666,Red,2024-09-26T13:00:30.826027,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.366666666666666,30.320496894409942,1.2666666666666666,Orange,2024-09-26T13:00:30.928272,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-26T13:00:31.024731,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.566666666666666,71.47257240204429,4.383333333333334,Orange,2024-09-26T13:00:31.099026,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-26T13:00:31.238376,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,34.606,30.666666666666668,67.70739130434782,-3.7666666666666666,Blue,2024-09-26T13:00:31.362986,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.35,44.39358288770054,-0.25,Blue,2024-09-26T13:00:31.467890,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,13.916666666666666,58.59161676646707,-0.15,Blue,2024-09-26T13:00:31.560732,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-26T13:00:31.654251,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,15.221,23.95,38.13194154488518,1.3166666666666667,Yellow,2024-09-26T13:00:31.749312,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.5,40.92631578947369,-0.1,Blue,2024-09-26T13:00:31.849115,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
