road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,22.366666666666667,28.118628912071536,1.9,Yellow,2024-09-26T17:00:30.534897,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.433333333333334,22.35544041450777,-0.55,Blue,2024-09-26T17:00:30.660393,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-09-26T17:00:30.773402,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.483333333333334,70.68771358828316,2.2333333333333334,Yellow,2024-09-26T17:00:30.911189,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,20.683333333333334,50.74230459307011,8.4,Red,2024-09-26T17:00:31.014087,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,11.05,14.72579185520362,6.95,Dark Red,2024-09-26T17:00:31.119062,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-09-26T17:00:31.260192,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.05,77.4781163434903,2.8666666666666667,Yellow,2024-09-26T17:00:31.325387,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.733333333333333,49.61584158415841,0.36666666666666664,Yellow,2024-09-26T17:00:31.443643,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,9.133333333333333,42.61532846715329,-0.08333333333333333,Blue,2024-09-26T17:00:31.563113,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-26T17:00:31.661142,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.083333333333334,55.25197452229299,0.43333333333333335,Blue,2024-09-26T17:00:31.764783,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1166666666666667,39.04171122994652,0.06666666666666667,Blue,2024-09-26T17:00:31.844871,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.116666666666667,32.465109269027884,4.783333333333333,Orange,2024-09-26T17:00:31.939475,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.2,38.117647058823536,0.6,Yellow,2024-09-26T17:00:32.036891,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.6,43.69315068493151,-0.35,Blue,2024-09-26T17:00:32.139940,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.416666666666666,41.50389261744967,-0.6833333333333333,Blue,2024-09-26T17:00:32.263347,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.3,64.92587412587413,-0.7166666666666667,Blue,2024-09-26T17:00:32.392163,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.016666666666667,38.41165048543689,-0.05,Blue,2024-09-26T17:00:32.488040,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.583333333333334,47.56858895705521,-0.06666666666666667,Blue,2024-09-26T17:00:32.584091,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-26T17:00:32.684529,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,15.933333333333334,57.79205020920502,2.6166666666666667,Yellow,2024-09-26T17:00:32.770235,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.116666666666666,36.41198910081744,1.2833333333333334,Orange,2024-09-26T17:00:32.857242,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.333333333333334,43.07142857142857,-0.23333333333333334,Blue,2024-09-26T17:00:32.968245,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T17:00:33.073348,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.566666666666666,72.22412451361868,-0.26666666666666666,Blue,2024-09-26T17:00:33.190134,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.116666666666667,63.94459974587039,-0.5333333333333333,Blue,2024-09-26T17:00:33.314867,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.45,65.0091743119266,0.2,Blue,2024-09-26T17:00:33.459290,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,43.85,75.25929304446979,3.566666666666667,Yellow,2024-09-26T17:00:33.578124,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,37.1,50.946630727762795,11.433333333333334,Orange,2024-09-26T17:00:33.764538,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.566666666666666,87.83752860411899,-0.016666666666666666,Blue,2024-09-26T17:00:33.852603,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,29.833333333333332,63.154860335195536,2.3,Yellow,2024-09-26T17:00:33.943549,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,9.466666666666667,75.96760563380283,0.9833333333333333,Yellow,2024-09-26T17:00:34.031235,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.866666666666667,40.087218045112785,-0.06666666666666667,Blue,2024-09-26T17:00:34.116491,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.4,37.83529411764707,0.21666666666666667,Yellow,2024-09-26T17:00:34.265109,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.666666666666666,107.510625,-1.1666666666666667,Blue,2024-09-26T17:00:34.398582,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,25.883333333333333,45.08461043142306,10.266666666666667,Red,2024-09-26T17:00:34.531159,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,5.266666666666667,29.449367088607595,0.9166666666666666,Orange,2024-09-26T17:00:34.621384,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.233333333333333,63.32644836272041,-0.3333333333333333,Blue,2024-09-26T17:00:34.722768,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,14.15,76.31236749116607,0.18333333333333332,Blue,2024-09-26T17:00:34.802826,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,13.766666666666667,34.38740920096852,3.1,Orange,2024-09-26T17:00:34.894666,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.783333333333333,84.91991434689508,-0.36666666666666664,Blue,2024-09-26T17:00:34.980602,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.0,106.77272727272728,-1.15,Blue,2024-09-26T17:00:35.020826,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,8.416666666666666,54.313663366336634,0.8833333333333333,Yellow,2024-09-26T17:00:35.110507,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,12.583333333333334,52.7030463576159,1.9833333333333334,Yellow,2024-09-26T17:00:35.235932,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,14.383333333333333,60.53673232908459,3.3,Orange,2024-09-26T17:00:35.372073,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,13.7,51.18832116788322,3.7333333333333334,Orange,2024-09-26T17:00:35.474843,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.483333333333334,37.21731289449954,-0.2,Blue,2024-09-26T17:00:35.580824,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
