road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,21.766666666666666,29.034303215926492,1.1833333333333333,Yellow,2024-09-26T20:00:30.762396,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.4,22.471874999999997,-0.5833333333333334,Blue,2024-09-26T20:00:30.874100,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.483333333333334,37.678357570573134,-0.4166666666666667,Blue,2024-09-26T20:00:30.978885,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.2,75.41250000000001,0.95,Yellow,2024-09-26T20:00:31.129397,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,23.316666666666666,45.011579699785564,11.033333333333333,Red,2024-09-26T20:00:31.225369,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.533333333333333,35.89411764705883,0.43333333333333335,Yellow,2024-09-26T20:00:31.314408,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-26T20:00:31.411537,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.483333333333334,84.84206268958543,1.3,Yellow,2024-09-26T20:00:31.472251,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.833333333333333,48.889756097560976,0.4666666666666667,Yellow,2024-09-26T20:00:31.584119,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,6.487,8.05,48.3503105590062,-1.1666666666666667,Blue,2024-09-26T20:00:31.698434,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.516666666666667,43.61611208406305,-0.08333333333333333,Blue,2024-09-26T20:00:31.780365,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,11.383333333333333,57.2099560761347,-0.08333333333333333,Blue,2024-09-26T20:00:31.866365,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.066666666666667,39.678260869565214,0.016666666666666666,Blue,2024-09-26T20:00:32.032949,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.25,41.62434782608696,-0.08333333333333333,Blue,2024-09-26T20:00:32.119575,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.366666666666667,41.50889679715303,-0.23333333333333334,Blue,2024-09-26T20:00:32.255215,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.966666666666667,42.62271714922049,0.016666666666666666,Blue,2024-09-26T20:00:32.332974,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-26T20:00:32.411173,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.516666666666667,43.319852034525276,-0.85,Blue,2024-09-26T20:00:32.493470,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.7,39.45128205128206,-0.36666666666666664,Blue,2024-09-26T20:00:32.577071,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.95,49.894980694980696,-0.7,Blue,2024-09-26T20:00:32.655794,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-26T20:00:32.747632,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.55,73.37211155378486,-0.7666666666666667,Blue,2024-09-26T20:00:32.851392,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.833333333333333,46.080000000000005,0.0,Blue,2024-09-26T20:00:32.948012,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.966666666666667,44.832713754646846,-0.6,Blue,2024-09-26T20:00:33.032388,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T20:00:33.123778,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.15,67.61967213114754,0.31666666666666665,Blue,2024-09-26T20:00:33.223368,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.183333333333334,63.62123893805309,-0.4666666666666667,Blue,2024-09-26T20:00:33.305552,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.316666666666666,66.63949843260188,0.06666666666666667,Blue,2024-09-26T20:00:33.381548,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,46.36666666666667,71.17440690150971,6.083333333333333,Yellow,2024-09-26T20:00:33.521076,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
