road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.483333333333334,32.279897348160816,-0.9833333333333333,Blue,2024-09-26T22:00:30.298921,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.766666666666667,24.939884393063583,-1.2166666666666666,Blue,2024-09-26T22:00:30.411193,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.6,37.45408163265305,-0.3,Blue,2024-09-26T22:00:30.505241,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.383333333333333,78.76264732547598,0.13333333333333333,Blue,2024-09-26T22:00:30.633559,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.616666666666667,77.07613219094247,1.3333333333333333,Yellow,2024-09-26T22:00:30.718990,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9,41.723076923076924,-0.2,Blue,2024-09-26T22:00:30.807086,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-26T22:00:30.908756,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.216666666666665,86.23720452209662,1.0333333333333334,Yellow,2024-09-26T22:00:30.969544,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.8,49.12941176470588,0.43333333333333335,Yellow,2024-09-26T22:00:31.069246,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.183333333333334,47.922558537978304,-2.9,Blue,2024-09-26T22:00:31.157737,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.65,43.013471502590676,0.05,Blue,2024-09-26T22:00:31.236801,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.766666666666667,60.48668730650154,-0.7,Blue,2024-09-26T22:00:31.315340,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9,41.95862068965518,-0.15,Blue,2024-09-26T22:00:31.393307,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.066666666666666,44.69004149377594,-1.2666666666666666,Blue,2024-09-26T22:00:31.482613,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.55,45.473684210526315,-1.05,Blue,2024-09-26T22:00:31.571896,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.016666666666667,42.48079911209767,0.06666666666666667,Blue,2024-09-26T22:00:31.653407,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-26T22:00:31.730769,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.383333333333333,47.28452220726784,-1.9833333333333334,Blue,2024-09-26T22:00:31.806602,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.0,41.96181818181818,-1.0666666666666667,Blue,2024-09-26T22:00:31.884129,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.45,51.89879518072289,-1.2,Blue,2024-09-26T22:00:31.960756,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.033333333333335,46.751351351351346,-0.85,Blue,2024-09-26T22:00:32.058291,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
