road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.45,34.08780487804878,-2.0166666666666666,Blue,2024-09-26T23:00:30.294789,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.7,25.23157894736842,-1.2833333333333334,Blue,2024-09-26T23:00:30.393057,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-09-26T23:00:30.500881,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.216666666666665,71.62011541632317,1.9666666666666666,Yellow,2024-09-26T23:00:30.617325,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.75,89.32085106382979,-0.5333333333333333,Blue,2024-09-26T23:00:30.708766,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6166666666666667,44.99170506912443,-0.48333333333333334,Blue,2024-09-26T23:00:30.789436,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.333333333333332,47.51265306122449,-0.13333333333333333,Blue,2024-09-26T23:00:30.911901,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.533333333333335,75.45755395683452,3.35,Orange,2024-09-26T23:00:30.959675,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.683333333333334,49.98703241895261,0.31666666666666665,Blue,2024-09-26T23:00:31.033415,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.05,48.14251290877797,-3.033333333333333,Blue,2024-09-26T23:00:31.146849,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.283333333333333,44.71238779174147,-0.31666666666666665,Blue,2024-09-26T23:00:31.221688,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.55,61.72890995260663,-0.9166666666666666,Blue,2024-09-26T23:00:31.301815,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-26T23:00:31.373656,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.633333333333333,45.92878464818764,-1.7,Blue,2024-09-26T23:00:31.461349,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.516666666666667,45.65166340508806,-1.0833333333333333,Blue,2024-09-26T23:00:31.551083,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.6,43.69315068493151,-0.35,Blue,2024-09-26T23:00:31.628580,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,14.266666666666667,36.12196261682243,1.1666666666666667,Yellow,2024-09-26T23:00:31.702841,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.583333333333334,46.532980132450334,-1.7833333333333334,Blue,2024-09-26T23:00:31.775078,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,10.983333333333333,42.02549317147192,-1.0833333333333333,Blue,2024-09-26T23:00:31.846310,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.366666666666667,52.248517520215636,-1.2833333333333334,Blue,2024-09-26T23:00:31.914653,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.033333333333335,46.751351351351346,-0.85,Blue,2024-09-26T23:00:31.983632,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.583333333333334,73.17774834437085,-0.7333333333333333,Blue,2024-09-26T23:00:32.057825,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.516666666666667,49.31070110701107,-0.31666666666666665,Blue,2024-09-26T23:00:32.138819,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.816666666666666,45.59546313799623,-0.75,Blue,2024-09-26T23:00:32.211789,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-26T23:00:32.297181,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.45,73.22130177514794,-0.38333333333333336,Blue,2024-09-26T23:00:32.397049,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.066666666666666,64.18928571428572,-0.5833333333333334,Blue,2024-09-26T23:00:32.472409,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.566666666666666,63.64670658682635,0.31666666666666665,Yellow,2024-09-26T23:00:32.546591,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.85,89.55549525101765,-3.433333333333333,Blue,2024-09-26T23:00:32.630343,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.4,80.77435897435898,-2.2666666666666666,Blue,2024-09-26T23:00:32.712556,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.6,94.08088235294117,-0.9833333333333333,Blue,2024-09-26T23:00:32.777360,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,28.166666666666668,66.89183431952662,0.6333333333333333,Blue,2024-09-26T23:00:32.862236,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.55,84.11228070175439,0.06666666666666667,Blue,2024-09-26T23:00:32.934616,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.6,41.330232558139535,-0.3333333333333333,Blue,2024-09-26T23:00:33.001670,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.9,44.358620689655176,-0.2833333333333333,Blue,2024-09-26T23:00:33.080545,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.133333333333333,103.00419161676646,-0.7,Blue,2024-09-26T23:00:33.151143,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.933333333333334,83.75167464114833,-1.6833333333333333,Blue,2024-09-26T23:00:33.223912,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.8333333333333335,40.460869565217386,-0.5166666666666667,Blue,2024-09-26T23:00:33.300792,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.416666666666666,62.46111801242237,-0.15,Blue,2024-09-26T23:00:33.374181,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.016666666666667,82.95672215108834,-0.95,Blue,2024-09-26T23:00:33.445256,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
