road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.366666666666667,34.242468239564424,-2.1,Blue,2024-09-27T00:00:30.301719,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.7,25.23157894736842,-1.2833333333333334,Blue,2024-09-27T00:00:30.419956,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.233333333333334,38.16811091854419,-0.6666666666666666,Blue,2024-09-27T00:00:30.507257,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.966666666666665,85.33909626719058,-1.2833333333333334,Blue,2024-09-27T00:00:30.611083,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.383333333333333,92.19795021961934,-0.9,Blue,2024-09-27T00:00:30.707988,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5833333333333335,45.41023255813953,-0.5166666666666667,Blue,2024-09-27T00:00:30.801239,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-27T00:00:30.903794,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.566666666666666,96.00549199084668,-0.6166666666666667,Blue,2024-09-27T00:00:30.952490,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.25,53.452799999999996,-0.11666666666666667,Blue,2024-09-27T00:00:31.097627,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.433333333333334,57.7916194790487,-1.2,Blue,2024-09-27T00:00:31.176365,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.283333333333333,44.71238779174147,-0.31666666666666665,Blue,2024-09-27T00:00:31.257158,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
