road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.916666666666668,33.24687224669603,-1.55,Blue,2024-09-27T03:00:30.201828,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-27T03:00:30.301995,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.283333333333335,38.069144338807256,-0.6166666666666667,Blue,2024-09-27T03:00:30.407067,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.383333333333333,88.37761953204476,-1.8666666666666667,Blue,2024-09-27T03:00:30.519957,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.95,81.04401544401546,0.6666666666666666,Yellow,2024-09-27T03:00:30.614279,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.433333333333333,47.39417475728156,-0.6666666666666666,Blue,2024-09-27T03:00:30.724425,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.95,48.654545454545456,-0.5166666666666667,Blue,2024-09-27T03:00:30.815002,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.033333333333333,99.6541567695962,-1.15,Blue,2024-09-27T03:00:30.871934,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.55,51.00458015267176,0.18333333333333332,Blue,2024-09-27T03:00:30.963223,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,28.9,48.3923875432526,-3.183333333333333,Blue,2024-09-27T03:00:31.070676,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-27T03:00:31.169194,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.116666666666667,65.02668665667166,-1.5333333333333334,Blue,2024-09-27T03:00:31.246387,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.65,45.91698113207547,-0.4,Blue,2024-09-27T03:00:31.340757,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.933333333333334,48.08169642857143,-2.4,Blue,2024-09-27T03:00:31.424158,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
