road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.6,33.81290322580645,-1.8666666666666667,Blue,2024-09-27T04:00:30.128241,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-27T04:00:30.222584,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.95,38.73878627968338,-0.95,Blue,2024-09-27T04:00:30.313110,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.333333333333332,88.64816326530614,-1.9166666666666667,Blue,2024-09-27T04:00:30.445022,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.85,96.72995391705071,-1.4333333333333333,Blue,2024-09-27T04:00:30.545852,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6,45.2,-0.5,Blue,2024-09-27T04:00:30.656246,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-27T04:00:30.746006,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.016666666666667,99.77265160523186,-1.1666666666666667,Blue,2024-09-27T04:00:30.791916,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.816666666666666,57.434957020057304,-0.55,Blue,2024-09-27T04:00:30.875866,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,27.083333333333332,51.638400000000004,-5.0,Blue,2024-09-27T04:00:30.950306,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.133333333333333,45.44671532846716,-0.4666666666666667,Blue,2024-09-27T04:00:31.029445,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.3,63.9716814159292,-1.35,Blue,2024-09-27T04:00:31.137558,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.65,45.91698113207547,-0.4,Blue,2024-09-27T04:00:31.232518,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.766666666666667,48.624379232505646,-2.566666666666667,Blue,2024-09-27T04:00:31.318712,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.883333333333333,43.767354596622894,-0.7166666666666667,Blue,2024-09-27T04:00:31.396696,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.583333333333334,43.74308571428571,-0.36666666666666664,Blue,2024-09-27T04:00:31.468975,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.933333333333334,39.845876288659795,-0.16666666666666666,Blue,2024-09-27T04:00:31.539315,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.383333333333333,47.28452220726784,-1.9833333333333334,Blue,2024-09-27T04:00:31.612216,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.866666666666667,46.31963190184049,-0.43333333333333335,Blue,2024-09-27T04:00:31.690882,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.766666666666667,54.91274787535411,-1.8833333333333333,Blue,2024-09-27T04:00:31.779189,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-27T04:00:31.857108,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.866666666666667,71.5663212435233,-0.45,Blue,2024-09-27T04:00:31.949797,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.633333333333334,48.069064748201434,-0.2,Blue,2024-09-27T04:00:32.030924,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.8,45.68181818181818,-0.7666666666666667,Blue,2024-09-27T04:00:32.108153,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T04:00:32.259006,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.65,71.52832369942196,-0.18333333333333332,Blue,2024-09-27T04:00:32.337769,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
