road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.416666666666668,34.149502262443434,-2.05,Blue,2024-09-27T05:00:30.252575,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-27T05:00:30.377710,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-27T05:00:30.488187,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.583333333333332,87.31175879396987,-1.6666666666666667,Blue,2024-09-27T05:00:30.603846,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.916666666666666,96.13923664122139,-1.3666666666666667,Blue,2024-09-27T05:00:30.699805,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.433333333333333,47.39417475728156,-0.6666666666666666,Blue,2024-09-27T05:00:30.786361,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.116666666666667,48.15139607032057,-0.35,Blue,2024-09-27T05:00:30.879376,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.166666666666666,98.71623529411765,-1.0166666666666666,Blue,2024-09-27T05:00:30.916509,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.8,57.599999999999994,-0.5666666666666667,Blue,2024-09-27T05:00:31.006809,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.266666666666666,51.42542787286064,-4.1,Blue,2024-09-27T05:00:31.086607,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-27T05:00:31.170517,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.45,63.133624454148475,-1.2,Blue,2024-09-27T05:00:31.251157,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-27T05:00:31.333824,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.533333333333333,49.405045871559636,-2.8,Blue,2024-09-27T05:00:31.425514,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.683333333333334,44.77543186180422,-0.9166666666666666,Blue,2024-09-27T05:00:31.523821,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.533333333333333,43.893577981651376,-0.4166666666666667,Blue,2024-09-27T05:00:31.599678,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.833333333333334,40.156363636363636,-0.26666666666666666,Blue,2024-09-27T05:00:31.670583,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.816666666666666,45.685825747724316,-1.55,Blue,2024-09-27T05:00:31.749912,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.516666666666667,47.861172741679866,-0.7833333333333333,Blue,2024-09-27T05:00:31.825106,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.95,54.07029288702929,-1.7,Blue,2024-09-27T05:00:31.915302,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-27T05:00:32.056165,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.516666666666667,73.56750998668441,-0.8,Blue,2024-09-27T05:00:32.130692,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.783333333333333,46.561672473867596,-0.05,Blue,2024-09-27T05:00:32.215501,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.883333333333333,45.25328330206379,-0.6833333333333333,Blue,2024-09-27T05:00:32.306829,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T05:00:32.514177,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.8,70.3090909090909,-0.03333333333333333,Blue,2024-09-27T05:00:32.597731,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.35,67.91417004048583,-1.3,Blue,2024-09-27T05:00:32.662717,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.1,69.47058823529413,-0.15,Blue,2024-09-27T05:00:32.741659,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,35.333333333333336,93.39962264150944,-4.95,Blue,2024-09-27T05:00:32.825265,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.866666666666667,82.65830903790086,-2.8,Blue,2024-09-27T05:00:32.930138,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.983333333333333,91.50178784266984,-0.6,Blue,2024-09-27T05:00:33.004071,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.516666666666666,73.83879817112998,-2.0166666666666666,Blue,2024-09-27T05:00:33.080263,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.95,90.46037735849056,-0.5333333333333333,Blue,2024-09-27T05:00:33.160741,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.233333333333333,43.17085020242915,-0.7,Blue,2024-09-27T05:00:33.254629,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1166666666666667,41.27486631016043,-0.06666666666666667,Blue,2024-09-27T05:00:33.334296,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,11.483333333333333,99.86473149492018,-0.35,Blue,2024-09-27T05:00:33.413095,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,13.566666666666666,86.01523341523342,-2.05,Blue,2024-09-27T05:00:33.494603,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.9,39.76923076923077,-0.45,Blue,2024-09-27T05:00:33.570032,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.45,62.30631970260224,-0.11666666666666667,Blue,2024-09-27T05:00:33.651087,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.75,84.69176470588235,-1.2166666666666666,Blue,2024-09-27T05:00:33.734161,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.85,53.49152542372882,-1.8166666666666667,Blue,2024-09-27T05:00:33.808998,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.933333333333334,83.31428571428572,-0.21666666666666667,Blue,2024-09-27T05:00:33.882023,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.816666666666666,99.3935119887165,-0.3333333333333333,Blue,2024-09-27T05:00:33.919459,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.85,66.73576642335766,-0.6833333333333333,Blue,2024-09-27T05:00:33.998533,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.8,67.67142857142856,-0.8,Blue,2024-09-27T05:00:34.087373,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.166666666666666,94.98763636363637,-1.9166666666666667,Blue,2024-09-27T05:00:34.180268,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.116666666666667,76.92285191956124,-0.85,Blue,2024-09-27T05:00:34.259801,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.266666666666666,37.658759124087595,-0.4166666666666667,Blue,2024-09-27T05:00:34.345885,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.716666666666667,81.34888507718696,-0.9666666666666667,Blue,2024-09-27T05:00:34.422126,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,6.833333333333333,95.18926829268293,-1.6166666666666667,Blue,2024-09-27T05:00:34.562632,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6333333333333333,39.61651376146789,-0.08333333333333333,Blue,2024-09-27T05:00:34.652414,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,16.85,63.186943620178035,-1.6166666666666667,Blue,2024-09-27T05:00:34.734454,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,9.85,76.76345177664976,-3.2666666666666666,Blue,2024-09-27T05:00:34.824688,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
