road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.083333333333332,32.95650655021834,-1.3833333333333333,Blue,2024-09-27T07:00:30.143252,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.85,24.584615384615386,-1.1333333333333333,Blue,2024-09-27T07:00:30.267106,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.083333333333332,38.468122270742356,-0.8166666666666667,Blue,2024-09-27T07:00:30.393995,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.266666666666666,89.01147540983608,-1.9833333333333334,Blue,2024-09-27T07:00:30.519944,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.75,97.62976744186047,-1.5333333333333334,Blue,2024-09-27T07:00:30.629224,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.533333333333333,46.05283018867925,-0.5666666666666667,Blue,2024-09-27T07:00:30.733021,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-27T07:00:30.829603,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.066666666666666,99.41800947867299,-1.1166666666666667,Blue,2024-09-27T07:00:30.872669,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.9,56.62372881355931,-0.4666666666666667,Blue,2024-09-27T07:00:30.960560,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,26.116666666666667,53.689853222718575,-5.25,Blue,2024-09-27T07:00:31.034924,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-27T07:00:31.121826,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.233333333333333,64.35133531157271,-1.4166666666666667,Blue,2024-09-27T07:00:31.251895,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-27T07:00:31.341429,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.65,49.01160409556314,-2.683333333333333,Blue,2024-09-27T07:00:31.434258,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.65,44.94797687861272,-0.95,Blue,2024-09-27T07:00:31.515619,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-27T07:00:31.616301,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.4,41.55967741935484,-0.7,Blue,2024-09-27T07:00:31.692504,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.183333333333334,48.060738714090284,-2.183333333333333,Blue,2024-09-27T07:00:31.775722,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,9.733333333333333,51.713013698630135,-1.5666666666666667,Blue,2024-09-27T07:00:31.855792,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.316666666666666,57.09631811487481,-2.3333333333333335,Blue,2024-09-27T07:00:31.939430,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.0,46.84875,-0.8833333333333333,Blue,2024-09-27T07:00:32.026232,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.483333333333333,73.76395193591455,-0.8333333333333334,Blue,2024-09-27T07:00:32.109261,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.583333333333333,48.593454545454556,-0.25,Blue,2024-09-27T07:00:32.202037,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.4,47.857142857142854,-1.1666666666666667,Blue,2024-09-27T07:00:32.314845,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T07:00:32.414162,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.216666666666667,67.13056057866184,0.38333333333333336,Blue,2024-09-27T07:00:32.513277,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.216666666666667,68.65538881309686,-1.4333333333333333,Blue,2024-09-27T07:00:32.580596,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.883333333333334,72.55290102389078,-0.36666666666666664,Blue,2024-09-27T07:00:32.650398,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,35.733333333333334,92.35410447761194,-4.55,Blue,2024-09-27T07:00:32.747992,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.883333333333333,82.59810633648944,-2.783333333333333,Blue,2024-09-27T07:00:32.831699,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
