road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.1,34.74696132596684,-2.3666666666666667,Blue,2024-09-27T08:00:30.095034,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.916666666666667,24.30760563380281,-1.0666666666666667,Blue,2024-09-27T08:00:30.237392,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-09-27T08:00:30.347367,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.7,86.70179640718564,-1.55,Blue,2024-09-27T08:00:30.471001,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.816666666666666,97.02804314329738,-1.4666666666666666,Blue,2024-09-27T08:00:30.567302,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.433333333333333,47.39417475728156,-0.6666666666666666,Blue,2024-09-27T08:00:30.661297,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-09-27T08:00:30.745057,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.966666666666667,100.12983293556086,-1.2166666666666666,Blue,2024-09-27T08:00:30.784749,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.216666666666667,53.73941018766756,-0.15,Blue,2024-09-27T08:00:30.869181,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,27.216666666666665,51.38542559706063,-4.866666666666666,Blue,2024-09-27T08:00:30.949677,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.333333333333334,44.472857142857144,-0.26666666666666666,Blue,2024-09-27T08:00:31.044247,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.116666666666667,65.02668665667166,-1.5333333333333334,Blue,2024-09-27T08:00:31.124010,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.65,45.91698113207547,-0.4,Blue,2024-09-27T08:00:31.218968,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.016666666666667,47.81487236403996,-2.316666666666667,Blue,2024-09-27T08:00:31.314124,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.75,44.434285714285714,-0.85,Blue,2024-09-27T08:00:31.418954,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
