road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.283333333333335,32.61469317199654,-1.1833333333333333,Blue,2024-09-27T13:00:29.958789,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-27T13:00:30.067038,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.816666666666666,39.0132860938884,-1.0833333333333333,Blue,2024-09-27T13:00:30.269233,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.383333333333333,88.37761953204476,-1.8666666666666667,Blue,2024-09-27T13:00:30.442353,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.716666666666667,97.9334370139969,-1.5666666666666667,Blue,2024-09-27T13:00:30.547989,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.85,42.26493506493507,-0.25,Blue,2024-09-27T13:00:30.651021,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.95,48.654545454545456,-0.5166666666666667,Blue,2024-09-27T13:00:30.747996,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.05,99.53594306049821,-1.1333333333333333,Blue,2024-09-27T13:00:30.804872,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.066666666666666,55.068131868131864,-0.3,Blue,2024-09-27T13:00:30.905309,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,26.25,53.417142857142856,-5.116666666666666,Blue,2024-09-27T13:00:31.004881,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.35,44.39358288770054,-0.25,Blue,2024-09-27T13:00:31.108652,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.366666666666667,63.59648093841642,-1.2833333333333334,Blue,2024-09-27T13:00:31.291057,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-27T13:00:31.423124,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.5,46.32387096774193,-1.8333333333333333,Blue,2024-09-27T13:00:31.519903,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.2,42.2608695652174,-0.4,Blue,2024-09-27T13:00:31.617530,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,13.966666666666667,45.6744630071599,-0.9833333333333333,Blue,2024-09-27T13:00:31.704579,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.3,41.89756097560976,-0.8,Blue,2024-09-27T13:00:31.785216,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.233333333333333,47.864305177111724,-2.1333333333333333,Blue,2024-09-27T13:00:31.887709,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.016666666666667,45.688956127080175,-0.2833333333333333,Blue,2024-09-27T13:00:31.973481,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.8,54.757627118644066,-1.85,Blue,2024-09-27T13:00:32.079433,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.016666666666666,46.800000000000004,-0.8666666666666667,Blue,2024-09-27T13:00:32.204509,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.65,79.04034334763948,-1.6666666666666667,Blue,2024-09-27T13:00:32.326164,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.55,48.94945054945055,-0.2833333333333333,Blue,2024-09-27T13:00:32.427785,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.45,47.57396449704143,-1.1166666666666667,Blue,2024-09-27T13:00:32.522730,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T13:00:32.628453,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.45,73.22130177514794,-0.38333333333333336,Blue,2024-09-27T13:00:32.727941,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,11.916666666666666,70.38377622377622,-1.7333333333333334,Blue,2024-09-27T13:00:32.802747,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
