road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.916666666666668,30.067888446215136,0.45,Blue,2024-09-27T15:00:30.432073,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.083333333333333,23.641643835616435,-0.9,Blue,2024-09-27T15:00:30.558203,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.95,38.73878627968338,-0.95,Blue,2024-09-27T15:00:30.662146,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.966666666666665,85.33909626719058,-1.2833333333333334,Blue,2024-09-27T15:00:30.775197,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.266666666666667,93.15266272189349,-1.0166666666666666,Blue,2024-09-27T15:00:30.899469,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.8833333333333333,41.90214592274678,-0.21666666666666667,Blue,2024-09-27T15:00:31.020811,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.95,48.654545454545456,-0.5166666666666667,Blue,2024-09-27T15:00:31.127393,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.9,93.85771812080536,-0.2833333333333333,Blue,2024-09-27T15:00:31.187506,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-27T15:00:31.416210,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.411,26.333333333333332,64.73392405063292,-3.5833333333333335,Blue,2024-09-27T15:00:31.525589,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.333333333333334,44.472857142857144,-0.26666666666666666,Blue,2024-09-27T15:00:31.662370,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-09-27T15:00:31.766526,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.783333333333333,43.71736526946108,-0.26666666666666666,Blue,2024-09-27T15:00:31.854254,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.35,39.1291553133515,1.0166666666666666,Yellow,2024-09-27T15:00:31.946366,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.95,39.07537688442211,0.35,Blue,2024-09-27T15:00:32.041600,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.0,45.565714285714286,-0.95,Blue,2024-09-27T15:00:32.119653,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.233333333333333,42.125885558583114,-0.8666666666666667,Blue,2024-09-27T15:00:32.332220,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.55,43.21328413284132,-0.8166666666666667,Blue,2024-09-27T15:00:32.474616,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.833333333333334,42.535774647887315,0.5333333333333333,Blue,2024-09-27T15:00:32.605766,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.1,53.400000000000006,-1.55,Blue,2024-09-27T15:00:32.712430,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-27T15:00:32.795931,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.75,78.36765957446808,-1.5666666666666667,Blue,2024-09-27T15:00:32.911911,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.616666666666666,48.24259927797834,-0.21666666666666667,Blue,2024-09-27T15:00:33.028261,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.983333333333333,44.74953617810761,-0.5833333333333334,Blue,2024-09-27T15:00:33.125384,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T15:00:33.414300,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.216666666666667,75.30060851926977,-0.6166666666666667,Blue,2024-09-27T15:00:33.610842,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.033333333333333,69.70138504155125,-1.6166666666666667,Blue,2024-09-27T15:00:33.686924,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.35,66.22429906542057,0.1,Blue,2024-09-27T15:00:33.776539,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,39.28333333333333,84.00814594823929,-1.0,Blue,2024-09-27T15:00:33.934269,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.45,80.60213219616205,-2.216666666666667,Blue,2024-09-27T15:00:34.038186,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.883333333333333,85.96864501679731,0.3,Blue,2024-09-27T15:00:34.116080,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.75,73.16970873786408,-1.7833333333333334,Blue,2024-09-27T15:00:34.294320,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.066666666666666,89.15206611570248,-0.4166666666666667,Blue,2024-09-27T15:00:34.444190,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.366666666666667,42.482868525896414,-0.5666666666666667,Blue,2024-09-27T15:00:34.546924,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.2666666666666666,39.3795918367347,0.08333333333333333,Blue,2024-09-27T15:00:34.669406,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.45,109.73971291866029,-1.3833333333333333,Blue,2024-09-27T15:00:34.750182,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,17.283333333333335,67.51822565091611,1.6666666666666667,Yellow,2024-09-27T15:00:34.854683,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.483333333333333,34.594795539033456,0.13333333333333333,Blue,2024-09-27T15:00:34.940185,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.333333333333334,67.94756756756756,-1.2333333333333334,Blue,2024-09-27T15:00:35.026963,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.483333333333333,86.50093457943926,-1.4833333333333334,Blue,2024-09-27T15:00:35.107355,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,11.983333333333333,39.50486787204451,1.3166666666666667,Yellow,2024-09-27T15:00:35.276160,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.383333333333334,89.52054176072235,-0.7666666666666667,Blue,2024-09-27T15:00:35.420667,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,10.766666666666667,109.08668730650153,-1.3833333333333333,Blue,2024-09-27T15:00:35.463089,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.766666666666667,67.55763546798029,-0.7666666666666667,Blue,2024-09-27T15:00:35.555623,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.016666666666667,66.20765391014976,-0.5833333333333334,Blue,2024-09-27T15:00:35.667983,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,11.65,74.73991416309012,0.5666666666666667,Yellow,2024-09-27T15:00:35.746279,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.35,75.00320855614974,-0.6166666666666667,Blue,2024-09-27T15:00:35.842633,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,17.9,38.43016759776537,-0.7833333333333333,Blue,2024-09-27T15:00:35.950991,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.566666666666666,82.62439024390244,-1.1166666666666667,Blue,2024-09-27T15:00:36.032139,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,8.983333333333333,72.4074211502783,0.5333333333333333,Yellow,2024-09-27T15:00:36.124541,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.8,37.87894736842106,0.08333333333333333,Blue,2024-09-27T15:00:36.307676,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,20.683333333333334,51.47622884770347,2.216666666666667,Yellow,2024-09-27T15:00:36.431765,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,13.95,54.20215053763442,0.8333333333333334,Yellow,2024-09-27T15:00:36.563900,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,6.8,18.282352941176473,1.4166666666666667,Orange,2024-09-27T15:00:36.669296,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
