road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.7,28.982488479262674,1.2333333333333334,Yellow,2024-09-27T16:00:30.362291,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.083333333333333,23.641643835616435,-0.9,Blue,2024-09-27T16:00:30.490650,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.983333333333334,38.670763827919224,-0.9166666666666666,Blue,2024-09-27T16:00:30.601924,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.983333333333334,76.27322212467077,0.7333333333333333,Blue,2024-09-27T16:00:30.716814,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.65,90.08755364806866,-0.6333333333333333,Blue,2024-09-27T16:00:30.844926,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.383333333333334,25.491383812010444,2.283333333333333,Red,2024-09-27T16:00:30.955870,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-09-27T16:00:31.061429,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.133333333333333,81.62334630350195,1.95,Yellow,2024-09-27T16:00:31.133843,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-09-27T16:00:31.303198,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.0,60.75,-2.6333333333333333,Blue,2024-09-27T16:00:31.452352,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-27T16:00:31.587463,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.116666666666667,59.65997248968363,-0.5333333333333333,Blue,2024-09-27T16:00:31.669144,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-27T16:00:31.778596,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.15,41.86705539358601,-0.18333333333333332,Blue,2024-09-27T16:00:31.865081,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.7,40.08247422680413,0.1,Blue,2024-09-27T16:00:31.973078,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.216666666666667,44.87127784290738,-0.7333333333333333,Blue,2024-09-27T16:00:32.070953,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.516666666666667,41.17230359520639,-0.5833333333333334,Blue,2024-09-27T16:00:32.179908,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.666666666666666,46.22684210526316,-1.7,Blue,2024-09-27T16:00:32.382285,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.366666666666667,40.608211143695016,-0.7,Blue,2024-09-27T16:00:32.524478,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.633333333333333,51.14564643799473,-1.0166666666666666,Blue,2024-09-27T16:00:32.632228,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-27T16:00:32.732965,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.583333333333334,79.49525179856114,-1.7333333333333334,Blue,2024-09-27T16:00:32.835436,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.666666666666667,47.72571428571429,-0.16666666666666666,Blue,2024-09-27T16:00:32.922219,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.983333333333333,44.74953617810761,-0.5833333333333334,Blue,2024-09-27T16:00:33.015170,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T16:00:33.257904,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.616666666666667,71.80502901353965,-0.21666666666666667,Blue,2024-09-27T16:00:33.435572,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.35,67.91417004048583,-1.3,Blue,2024-09-27T16:00:33.534691,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.416666666666667,65.40923076923077,0.16666666666666666,Blue,2024-09-27T16:00:33.672053,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,52.93333333333333,62.34483627204031,12.65,Orange,2024-09-27T16:00:33.775905,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,34.25,55.18598540145985,8.583333333333334,Orange,2024-09-27T16:00:33.896992,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.016666666666667,91.28418549346016,-0.5666666666666667,Blue,2024-09-27T16:00:33.995798,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.883333333333333,67.57154811715482,0.35,Blue,2024-09-27T16:00:34.087205,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.333333333333334,86.2992,-0.15,Blue,2024-09-27T16:00:34.374332,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.65,41.09132947976879,-0.2833333333333333,Blue,2024-09-27T16:00:34.512257,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.8,33.852631578947374,0.6166666666666667,Yellow,2024-09-27T16:00:34.603922,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.566666666666666,108.52807570977917,-1.2666666666666666,Blue,2024-09-27T16:00:34.703488,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,23.833333333333332,48.96251748251749,8.216666666666667,Red,2024-09-27T16:00:34.787627,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.8,32.3125,0.45,Yellow,2024-09-27T16:00:34.872782,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.566666666666666,66.68594164456233,-1.0,Blue,2024-09-27T16:00:34.981645,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.05,82.7448275862069,-0.9166666666666666,Blue,2024-09-27T16:00:35.071748,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.466666666666667,37.97326203208556,1.8,Yellow,2024-09-27T16:00:35.179321,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.5,88.128,-0.65,Blue,2024-09-27T16:00:35.334698,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,10.883333333333333,107.91730474732006,-1.2666666666666666,Blue,2024-09-27T16:00:35.375564,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.95,65.77553956834532,-0.5833333333333334,Blue,2024-09-27T16:00:35.488655,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.983333333333333,60.38057663125949,0.38333333333333336,Blue,2024-09-27T16:00:35.595839,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,15.75,55.28380952380952,4.666666666666667,Orange,2024-09-27T16:00:35.688036,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.566666666666666,73.30452961672474,-0.4,Blue,2024-09-27T16:00:35.779350,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,17.916666666666668,38.394418604651165,-0.7666666666666667,Blue,2024-09-27T16:00:35.880931,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.8,80.65714285714284,-0.8833333333333333,Blue,2024-09-27T16:00:35.983546,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,13.016666666666667,49.971318822023036,4.566666666666666,Red,2024-09-27T16:00:36.071590,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.7666666666666666,38.2141592920354,0.05,Blue,2024-09-27T16:00:36.197218,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,27.916666666666668,38.13850746268657,9.45,Red,2024-09-27T16:00:36.449223,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,13.65,55.393406593406596,0.5333333333333333,Blue,2024-09-27T16:00:36.561439,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,6.316666666666666,19.68126649076517,0.9333333333333333,Yellow,2024-09-27T16:00:36.667734,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,31.578,22.1,85.73212669683258,-1.05,Blue,2024-09-27T16:00:36.801900,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,9.7,37.8618556701031,0.25,Blue,2024-09-27T16:00:36.898564,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,22.733333333333334,44.052492668621696,6.383333333333334,Orange,2024-09-27T16:00:36.993021,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,15.816666666666666,47.926659641728136,6.2,Red,2024-09-27T16:00:37.090830,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,13.9,20.792805755395683,4.066666666666666,Orange,2024-09-27T16:00:37.235254,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,16.6,61.03012048192772,0.9833333333333333,Yellow,2024-09-27T16:00:37.411759,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,14.616666666666667,59.311744583808434,0.16666666666666666,Blue,2024-09-27T16:00:37.521247,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.716666666666667,38.195515695067265,-0.21666666666666667,Blue,2024-09-27T16:00:37.627148,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.316666666666666,94.17652411282985,-2.0833333333333335,Blue,2024-09-27T16:00:37.723022,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,7.333333333333333,27.94909090909091,1.8333333333333333,Orange,2024-09-27T16:00:37.812530,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,18.3,43.993442622950816,0.13333333333333333,Blue,2024-09-27T16:00:37.895250,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.556,13.366666666666667,51.872319201995005,0.45,Blue,2024-09-27T16:00:37.979564,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,6.3,53.2,0.7333333333333333,Yellow,2024-09-27T16:00:38.062005,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,11.163,16.116666666666667,41.558221302998966,-0.36666666666666664,Blue,2024-09-27T16:00:38.166779,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.183333333333334,45.49330889092575,-3.2666666666666666,Blue,2024-09-27T16:00:38.349061,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,32.583333333333336,44.50925831202046,11.4,Red,2024-09-27T16:00:38.470681,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
