road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.516666666666666,29.229434546862894,1.05,Yellow,2024-09-27T17:00:30.301309,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-27T17:00:30.443799,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.016666666666666,38.60297984224365,-0.8833333333333333,Blue,2024-09-27T17:00:30.559296,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.166666666666668,79.70201834862385,-0.08333333333333333,Blue,2024-09-27T17:00:30.685106,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.666666666666666,89.95885714285714,-0.6166666666666667,Blue,2024-09-27T17:00:30.792433,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.533333333333333,35.89411764705883,0.43333333333333335,Yellow,2024-09-27T17:00:30.923828,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-27T17:00:31.012799,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.4,90.81038961038962,0.21666666666666667,Blue,2024-09-27T17:00:31.076849,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.65,50.2375939849624,0.2833333333333333,Blue,2024-09-27T17:00:31.209206,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,27.966666666666665,60.82240762812873,-2.6666666666666665,Blue,2024-09-27T17:00:31.361913,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-27T17:00:31.455068,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.8,61.261016949152534,-0.85,Blue,2024-09-27T17:00:31.547080,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-27T17:00:31.635851,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.133333333333333,37.52717770034843,1.8,Yellow,2024-09-27T17:00:31.716518,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.466666666666667,41.07042253521127,-0.13333333333333333,Blue,2024-09-27T17:00:31.807784,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,16.166666666666668,39.45896907216494,1.2166666666666666,Yellow,2024-09-27T17:00:31.896181,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.55,41.06294820717132,-0.55,Blue,2024-09-27T17:00:31.978265,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.716666666666667,46.04508519003932,-1.65,Blue,2024-09-27T17:00:32.070122,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.333333333333334,40.81135135135134,1.0333333333333334,Yellow,2024-09-27T17:00:32.171771,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.716666666666667,50.81048492791612,-0.9333333333333333,Blue,2024-09-27T17:00:32.317474,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-27T17:00:32.425174,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.7,78.70256410256411,-1.6166666666666667,Blue,2024-09-27T17:00:32.512789,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.7,47.38723404255319,-0.13333333333333333,Blue,2024-09-27T17:00:32.617928,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.15,43.9344262295082,-0.4166666666666667,Blue,2024-09-27T17:00:32.704417,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-27T17:00:32.801004,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.233333333333333,75.14817813765183,-0.6,Blue,2024-09-27T17:00:32.909999,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.866666666666667,65.18704663212434,-0.7833333333333333,Blue,2024-09-27T17:00:32.979736,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.366666666666666,66.01863354037268,0.11666666666666667,Blue,2024-09-27T17:00:33.287611,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.0,86.84526315789475,-2.283333333333333,Blue,2024-09-27T17:00:33.488981,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
