road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.833333333333332,30.18816,0.36666666666666664,Blue,2024-09-27T19:00:30.614387,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-27T19:00:30.727766,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.45,37.742930591259636,-0.45,Blue,2024-09-27T19:00:30.825167,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.8,86.18571428571428,-1.45,Blue,2024-09-27T19:00:30.944156,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.6,90.47586206896553,-0.6833333333333333,Blue,2024-09-27T19:00:31.054768,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.35,37.406896551724145,0.25,Yellow,2024-09-27T19:00:31.171370,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-27T19:00:31.290323,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.666666666666666,95.3509090909091,-0.5166666666666667,Blue,2024-09-27T19:00:31.346998,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.55,51.00458015267176,0.18333333333333332,Blue,2024-09-27T19:00:31.451873,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.483333333333334,59.71913399648918,-2.15,Blue,2024-09-27T19:00:31.543621,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-09-27T19:00:31.630480,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.783333333333333,61.347666195190946,-0.8666666666666667,Blue,2024-09-27T19:00:31.709572,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.05,39.89508196721312,0.0,Blue,2024-09-27T19:00:31.795419,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.116666666666667,44.55139607032058,-1.2166666666666666,Blue,2024-09-27T19:00:31.883806,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
