road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.633333333333333,30.480775444264946,0.16666666666666666,Blue,2024-09-27T20:00:30.431828,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.916666666666667,24.30760563380281,-1.0666666666666667,Blue,2024-09-27T20:00:30.551383,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-27T20:00:30.661677,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.583333333333332,82.34616113744077,-0.6666666666666666,Blue,2024-09-27T20:00:30.782943,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.85,88.56708860759495,-0.43333333333333335,Blue,2024-09-27T20:00:30.880618,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.95,41.19493670886076,-0.15,Blue,2024-09-27T20:00:30.967538,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-27T20:00:31.075297,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.916666666666666,93.75284916201119,-0.26666666666666666,Blue,2024-09-27T20:00:31.140587,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.45,51.795348837209296,0.08333333333333333,Blue,2024-09-27T20:00:31.232915,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.4,59.8943661971831,-2.2333333333333334,Blue,2024-09-27T20:00:31.326439,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.533333333333333,43.53986013986014,-0.06666666666666667,Blue,2024-09-27T20:00:31.411662,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.65,62.04978540772532,-1.0,Blue,2024-09-27T20:00:31.508935,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-09-27T20:00:31.583464,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.083333333333332,44.64373056994819,-1.25,Blue,2024-09-27T20:00:31.694417,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.833333333333334,44.01509433962264,-0.7666666666666667,Blue,2024-09-27T20:00:31.785040,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
